document_id,shipment_id,sku,document_family,file_name,version,uploaded_at,issued_at,issuer_name,supersedes_document_id,extraction_status,file_present
DOC-0000015,SHP-000003,EU-APP-0016,Classification Memo,SHP-000003_EU-APP-0016_classification.pdf,1,2026-07-25,2026-07-25,Exporter classification team,,COMPLETE,Yes
DOC-0000016,SHP-000003,EU-APP-0016,Tariff Query Snapshot,SHP-000003_EU-APP-0016_tariff_query.pdf,1,2026-07-25,2026-05-18,Access2Markets export,,COMPLETE,Yes
DOC-0000017,SHP-000003,EU-APP-0074,Label Artwork,EU-APP-0074_NL_label_v4.pdf,1,2025-08-30,2025-08-30,BlueRiver Fashions Pvt Ltd,,COMPLETE,Yes
DOC-0000018,SHP-000003,EU-APP-0074,Fibre Declaration,MAT-4019_declaration.pdf,1,2026-07-25,2024-12-03,M. Kumar,,COMPLETE,Yes
DOC-0000019,SHP-000003,EU-APP-0074,Classification Memo,SHP-000003_EU-APP-0074_classification.pdf,1,2026-07-25,2026-07-25,Exporter classification team,,COMPLETE,Yes
DOC-0000020,SHP-000004,,Packing List,SHP-000004_packing_list.pdf,1,2026-09-17,2026-09-17,Indus Cottonwear Pvt Ltd,,COMPLETE,Yes
DOC-0000021,SHP-000004,EU-APP-0009,Label Artwork,EU-APP-0009_FR_label_v2.pdf,1,2026-01-11,2026-01-11,Indus Cottonwear Pvt Ltd,,COMPLETE,Yes
DOC-0000022,SHP-000004,EU-APP-0009,Fibre Declaration,MAT-5845_declaration.pdf,1,2026-09-17,2025-01-21,,,COMPLETE,Yes
DOC-0000023,SHP-000004,EU-APP-0009,Tariff Query Snapshot,SHP-000004_EU-APP-0009_tariff_query.pdf,1,2026-09-17,2026-05-29,Access2Markets export,,COMPLETE,Yes
DOC-0000024,SHP-000004,EU-APP-0003,Label Artwork,EU-APP-0003_FR_label_v1.pdf,1,2026-06-24,2026-06-24,Indus Cottonwear Pvt Ltd,,COMPLETE,Yes
DOC-0000025,SHP-000004,EU-APP-0003,Fibre Declaration,MAT-3166_declaration.pdf,1,2026-09-17,2024-06-20,,,COMPLETE,Yes
DOC-0000026,SHP-000004,EU-APP-0003,Classification Memo,SHP-000004_EU-APP-0003_classification.pdf,1,2026-09-17,2026-09-17,Exporter classification team,,COMPLETE,Yes
DOC-0000027,SHP-000004,EU-APP-0003,Tariff Query Snapshot,SHP-000004_EU-APP-0003_tariff_query.pdf,1,2026-09-17,2026-06-05,Access2Markets export,,COMPLETE,Yes
DOC-0000028,SHP-000005,,Commercial Invoice,SHP-000005_invoice_v1.pdf,1,2026-09-17,2026-09-17,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000029,SHP-000005,,Packing List,SHP-000005_packing_list.pdf,1,2026-09-17,2026-09-17,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000030,SHP-000005,EU-APP-0030,Label Artwork,EU-APP-0030_IT_label_v4.pdf,1,2026-05-13,2026-05-13,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000031,SHP-000005,EU-APP-0030,Fibre Declaration,MAT-5392_declaration.pdf,1,2026-09-17,2024-10-31,M. Kumar,,COMPLETE,Yes
DOC-0000032,SHP-000005,EU-APP-0030,Classification Memo,SHP-000005_EU-APP-0030_classification.pdf,1,2026-09-17,2026-09-17,Exporter classification team,,COMPLETE,Yes
DOC-0000033,SHP-000005,EU-APP-0030,Tariff Query Snapshot,SHP-000005_EU-APP-0030_tariff_query.pdf,1,2026-09-17,2026-06-21,Access2Markets export,,COMPLETE,Yes
DOC-0000034,SHP-000005,EU-APP-0028,Fibre Declaration,MAT-5746_declaration.pdf,1,2026-09-17,2025-11-04,A. Sharma,,COMPLETE,Yes
DOC-0000035,SHP-000005,EU-APP-0028,Classification Memo,SHP-000005_EU-APP-0028_classification.pdf,1,2026-09-17,2026-09-17,Customs broker,,COMPLETE,Yes
DOC-0000036,SHP-000005,EU-APP-0028,Tariff Query Snapshot,SHP-000005_EU-APP-0028_tariff_query.pdf,1,2026-09-17,2026-07-27,Access2Markets export,,COMPLETE,Yes
DOC-0000037,SHP-000006,,Commercial Invoice,SHP-000006_invoice_v1.pdf,1,2026-07-10,2026-07-10,BlueRiver Fashions Pvt Ltd,,COMPLETE,Yes
DOC-0000038,SHP-000006,,Packing List,SHP-000006_packing_list.pdf,1,2026-07-10,2026-07-10,BlueRiver Fashions Pvt Ltd,,COMPLETE,Yes
DOC-0000039,SHP-000006,EU-APP-0047,Fibre Declaration,MAT-1694_declaration.pdf,1,2026-07-10,2025-05-24,Quality Manager,,COMPLETE,Yes
DOC-0000040,SHP-000006,EU-APP-0047,Classification Memo,SHP-000006_EU-APP-0047_classification.pdf,1,2026-07-10,2026-07-10,Exporter classification team,,COMPLETE,Yes
DOC-0000041,SHP-000007,,Commercial Invoice,SHP-000007_invoice_v1.pdf,1,2026-09-11,2026-09-11,Silverline Garments LLP,,COMPLETE,Yes
DOC-0000042,SHP-000007,,Packing List,SHP-000007_packing_list.pdf,1,2026-09-11,2026-09-11,Silverline Garments LLP,,COMPLETE,Yes
DOC-0000043,SHP-000007,,Transport Document,SHP-000007_transport.pdf,1,2026-09-11,2026-09-11,BlueWave Logistics,,COMPLETE,Yes
DOC-0000044,SHP-000007,EU-APP-0077,Fibre Declaration,MAT-9576_declaration.pdf,1,2026-09-11,2025-03-22,A. Sharma,,COMPLETE,Yes
DOC-0000045,SHP-000007,EU-APP-0077,Classification Memo,SHP-000007_EU-APP-0077_classification.pdf,1,2026-09-11,2026-09-11,Customs broker,,COMPLETE,Yes
DOC-0000046,SHP-000007,EU-APP-0077,Tariff Query Snapshot,SHP-000007_EU-APP-0077_tariff_query.pdf,1,2026-09-11,2026-06-01,Access2Markets export,,COMPLETE,Yes
DOC-0000047,SHP-000008,,Commercial Invoice,SHP-000008_invoice_v1.pdf,1,2026-11-03,2026-11-03,Triveni Textiles Ltd,,COMPLETE,Yes
DOC-0000048,SHP-000008,,Packing List,SHP-000008_packing_list.pdf,1,2026-11-03,2026-11-03,Triveni Textiles Ltd,,COMPLETE,Yes
DOC-0000049,SHP-000008,EU-APP-0039,Fibre Declaration,MAT-4280_declaration.pdf,1,2026-11-03,2024-11-05,,,COMPLETE,Yes
DOC-0000050,SHP-000008,EU-APP-0039,Classification Memo,SHP-000008_EU-APP-0039_classification.pdf,1,2026-11-03,2026-11-03,Exporter classification team,,COMPLETE,Yes
DOC-0000051,SHP-000008,EU-APP-0039,Tariff Query Snapshot,SHP-000008_EU-APP-0039_tariff_query.pdf,1,2026-11-03,2026-10-04,Access2Markets export,,COMPLETE,Yes
DOC-0000052,SHP-000009,,Commercial Invoice,SHP-000009_invoice_v1.pdf,1,2026-08-01,2026-08-01,Aarav Fashion Exports,,COMPLETE,Yes
DOC-0000053,SHP-000009,,Packing List,SHP-000009_packing_list.pdf,1,2026-08-01,2026-08-01,Aarav Fashion Exports,,COMPLETE,Yes
DOC-0000054,SHP-000009,EU-APP-0018,Fibre Declaration,MAT-1619_declaration.pdf,1,2026-08-01,2024-12-22,Quality Manager,,COMPLETE,Yes
DOC-0000055,SHP-000009,EU-APP-0018,Classification Memo,SHP-000009_EU-APP-0018_classification.pdf,1,2026-08-01,2026-08-01,Exporter classification team,,COMPLETE,Yes
DOC-0000056,SHP-000009,EU-APP-0018,Tariff Query Snapshot,SHP-000009_EU-APP-0018_tariff_query.pdf,1,2026-08-01,2026-06-11,Access2Markets export,,COMPLETE,Yes
DOC-0000057,SHP-000009,EU-APP-0058,Label Artwork,EU-APP-0058_DE_label_v1.pdf,1,2025-10-12,2025-10-12,Aarav Fashion Exports,,COMPLETE,Yes
DOC-0000058,SHP-000009,EU-APP-0058,Fibre Declaration,MAT-5904_declaration.pdf,1,2026-08-01,2025-12-20,,,COMPLETE,Yes
DOC-0000059,SHP-000009,EU-APP-0058,Classification Memo,SHP-000009_EU-APP-0058_classification.pdf,1,2026-08-01,2026-08-01,Customs broker,,COMPLETE,Yes
DOC-0000060,SHP-000009,EU-APP-0058,Tariff Query Snapshot,SHP-000009_EU-APP-0058_tariff_query.pdf,1,2026-08-01,2026-07-03,Access2Markets export,,COMPLETE,Yes
DOC-0000061,SHP-000010,,Commercial Invoice,SHP-000010_invoice_v1.pdf,1,2026-08-15,2026-08-15,Triveni Textiles Ltd,,COMPLETE,Yes
DOC-0000062,SHP-000010,,Packing List,SHP-000010_packing_list.pdf,1,2026-08-15,2026-08-15,Triveni Textiles Ltd,,COMPLETE,Yes
DOC-0000063,SHP-000010,,Transport Document,SHP-000010_transport.pdf,1,2026-08-15,2026-08-15,OceanBridge Logistics,,COMPLETE,Yes
DOC-0000064,SHP-000010,EU-APP-0045,Fibre Declaration,MAT-9812_declaration.pdf,1,2026-08-15,2024-11-19,M. Kumar,,COMPLETE,Yes
DOC-0000065,SHP-000010,EU-APP-0045,Classification Memo,SHP-000010_EU-APP-0045_classification.pdf,1,2026-08-15,2026-08-15,Exporter classification team,,COMPLETE,Yes
DOC-0000066,SHP-000010,EU-APP-0045,Tariff Query Snapshot,SHP-000010_EU-APP-0045_tariff_query.pdf,1,2026-08-15,2026-07-12,Access2Markets export,,COMPLETE,Yes
DOC-0000067,SHP-000011,,Commercial Invoice,SHP-000011_invoice_v1.pdf,1,2026-08-29,2026-08-29,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000068,SHP-000011,,Packing List,SHP-000011_packing_list.pdf,1,2026-08-29,2026-08-29,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000069,SHP-000011,EU-APP-0069,Label Artwork,EU-APP-0069_IT_label_v1.pdf,3,2026-05-19,2026-05-19,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000070,SHP-000011,EU-APP-0069,Fibre Declaration,MAT-4540_declaration.pdf,1,2026-08-29,2026-02-25,A. Sharma,,COMPLETE,Yes
DOC-0000071,SHP-000011,EU-APP-0069,Classification Memo,SHP-000011_EU-APP-0069_classification.pdf,1,2026-08-29,2026-08-29,Exporter classification team,,COMPLETE,Yes
DOC-0000072,SHP-000011,EU-APP-0054,Label Artwork,EU-APP-0054_IT_label_v2.pdf,4,2025-09-25,2025-09-25,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000073,SHP-000011,EU-APP-0054,Fibre Declaration,MAT-2536_declaration.pdf,1,2026-08-29,2025-02-15,,,COMPLETE,Yes
DOC-0000074,SHP-000011,EU-APP-0054,Classification Memo,SHP-000011_EU-APP-0054_classification.pdf,1,2026-08-29,2026-08-29,Customs broker,,COMPLETE,Yes
DOC-0000075,SHP-000012,,Commercial Invoice,SHP-000012_invoice_v1.pdf,1,2026-11-29,2026-11-29,Vertex Apparel Industries,,COMPLETE,Yes
DOC-0000076,SHP-000012,,Packing List,SHP-000012_packing_list.pdf,1,2026-11-29,2026-11-29,Vertex Apparel Industries,,COMPLETE,Yes
DOC-0000077,SHP-000012,EU-APP-0038,Label Artwork,EU-APP-0038_ES_label_v3.pdf,3,2025-09-14,2025-09-14,Vertex Apparel Industries,,COMPLETE,Yes
DOC-0000078,SHP-000012,EU-APP-0038,Fibre Declaration,MAT-8808_declaration.pdf,1,2026-11-29,2024-10-23,M. Kumar,,COMPLETE,Yes
DOC-0000079,SHP-000012,EU-APP-0038,Classification Memo,SHP-000012_EU-APP-0038_classification.pdf,1,2026-11-29,2026-11-29,Customs broker,,COMPLETE,Yes
DOC-0000080,SHP-000012,EU-APP-0038,Tariff Query Snapshot,SHP-000012_EU-APP-0038_tariff_query.pdf,1,2026-11-29,2026-10-01,Access2Markets export,,COMPLETE,Yes
DOC-0000081,SHP-000013,,Commercial Invoice,SHP-000013_invoice_v1.pdf,1,2026-12-01,2026-12-01,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000082,SHP-000013,,Packing List,SHP-000013_packing_list.pdf,1,2026-12-01,2026-12-01,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000083,SHP-000013,EU-APP-0072,Fibre Declaration,MAT-9130_declaration.pdf,1,2026-12-01,2025-02-13,,,COMPLETE,Yes
DOC-0000084,SHP-000013,EU-APP-0072,Classification Memo,SHP-000013_EU-APP-0072_classification.pdf,1,2026-12-01,2026-12-01,Customs broker,,COMPLETE,Yes
DOC-0000085,SHP-000013,EU-APP-0072,Tariff Query Snapshot,SHP-000013_EU-APP-0072_tariff_query.pdf,1,2026-12-01,2026-08-26,Access2Markets export,,COMPLETE,Yes
DOC-0000086,SHP-000014,,Commercial Invoice,SHP-000014_invoice_v1.pdf,1,2026-10-04,2026-10-04,Indus Cottonwear Pvt Ltd,,COMPLETE,Yes
DOC-0000087,SHP-000014,,Packing List,SHP-000014_packing_list.pdf,1,2026-10-04,2026-10-04,Indus Cottonwear Pvt Ltd,,COMPLETE,Yes
DOC-0000088,SHP-000014,EU-APP-0064,Label Artwork,EU-APP-0064_IT_label_v2.pdf,3,2026-05-28,2026-05-28,Indus Cottonwear Pvt Ltd,,COMPLETE,Yes
DOC-0000089,SHP-000014,EU-APP-0064,Fibre Declaration,MAT-1018_declaration.pdf,1,2026-10-04,2025-02-07,A. Sharma,,COMPLETE,Yes
DOC-0000090,SHP-000014,EU-APP-0064,Tariff Query Snapshot,SHP-000014_EU-APP-0064_tariff_query.pdf,1,2026-10-04,2026-09-06,Access2Markets export,,COMPLETE,Yes
DOC-0000091,SHP-000014,EU-APP-0028,Fibre Declaration,MAT-5746_declaration.pdf,1,2026-10-04,2025-11-04,A. Sharma,,COMPLETE,Yes
DOC-0000092,SHP-000014,EU-APP-0028,Tariff Query Snapshot,SHP-000014_EU-APP-0028_tariff_query.pdf,1,2026-10-04,2026-08-17,Access2Markets export,,COMPLETE,Yes
DOC-0000093,SHP-000014,EU-APP-0043,Fibre Declaration,MAT-1935_declaration.pdf,1,2026-10-04,2025-07-16,Quality Manager,,COMPLETE,Yes
DOC-0000094,SHP-000014,EU-APP-0043,Classification Memo,SHP-000014_EU-APP-0043_classification.pdf,1,2026-10-04,2026-10-04,Exporter classification team,,COMPLETE,Yes
DOC-0000095,SHP-000015,,Commercial Invoice,SHP-000015_invoice_v1.pdf,1,2026-09-23,2026-09-23,Saffron Apparel Works,,COMPLETE,Yes
DOC-0000096,SHP-000015,,Packing List,SHP-000015_packing_list.pdf,1,2026-09-23,2026-09-23,Saffron Apparel Works,,COMPLETE,Yes
DOC-0000097,SHP-000015,EU-APP-0076,Fibre Declaration,MAT-3603_declaration.pdf,1,2026-09-23,2024-08-06,M. Kumar,,COMPLETE,Yes
DOC-0000098,SHP-000015,EU-APP-0076,Classification Memo,SHP-000015_EU-APP-0076_classification.pdf,1,2026-09-23,2026-09-23,Customs broker,,COMPLETE,Yes
DOC-0000099,SHP-000016,,Commercial Invoice,SHP-000016_invoice_v1.pdf,1,2026-08-09,2026-08-09,Vertex Apparel Industries,,COMPLETE,Yes
DOC-0000100,SHP-000016,,Packing List,SHP-000016_packing_list.pdf,1,2026-08-09,2026-08-09,Vertex Apparel Industries,,COMPLETE,Yes
DOC-0000101,SHP-000016,,Transport Document,SHP-000016_transport.pdf,1,2026-08-09,2026-08-09,OceanBridge Logistics,,COMPLETE,Yes
DOC-0000102,SHP-000016,EU-APP-0024,Fibre Declaration,MAT-8125_declaration.pdf,1,2026-08-09,2024-06-29,A. Sharma,,COMPLETE,Yes
DOC-0000103,SHP-000016,EU-APP-0024,Tariff Query Snapshot,SHP-000016_EU-APP-0024_tariff_query.pdf,1,2026-08-09,2026-07-15,Access2Markets export,,COMPLETE,Yes
DOC-0000104,SHP-000016,EU-APP-0004,Label Artwork,EU-APP-0004_FR_label_v3.pdf,3,2026-04-10,2026-04-10,Vertex Apparel Industries,,COMPLETE,Yes
DOC-0000105,SHP-000016,EU-APP-0004,Fibre Declaration,MAT-6559_declaration.pdf,1,2026-08-09,2025-09-07,A. Sharma,,COMPLETE,Yes
DOC-0000106,SHP-000016,EU-APP-0004,Classification Memo,SHP-000016_EU-APP-0004_classification.pdf,1,2026-08-09,2026-08-09,Customs broker,,COMPLETE,Yes
DOC-0000107,SHP-000016,EU-APP-0004,Tariff Query Snapshot,SHP-000016_EU-APP-0004_tariff_query.pdf,1,2026-08-09,2026-06-07,Access2Markets export,,COMPLETE,Yes
DOC-0000108,SHP-000017,,Commercial Invoice,SHP-000017_invoice_v1.pdf,1,2026-12-08,2026-12-08,Aarav Fashion Exports,,COMPLETE,Yes
DOC-0000109,SHP-000017,,Packing List,SHP-000017_packing_list.pdf,1,2026-12-08,2026-12-08,Aarav Fashion Exports,,COMPLETE,Yes
DOC-0000110,SHP-000017,EU-APP-0057,Fibre Declaration,MAT-4540_declaration.pdf,1,2026-12-08,2026-02-25,A. Sharma,,COMPLETE,Yes
DOC-0000111,SHP-000017,EU-APP-0057,Classification Memo,SHP-000017_EU-APP-0057_classification.pdf,1,2026-12-08,2026-12-08,Exporter classification team,,COMPLETE,Yes
DOC-0000112,SHP-000017,EU-APP-0057,Tariff Query Snapshot,SHP-000017_EU-APP-0057_tariff_query.pdf,1,2026-12-08,2026-11-30,Access2Markets export,,COMPLETE,Yes
DOC-0000113,SHP-000017,EU-APP-0006,Label Artwork,EU-APP-0006_FR_label_v1.pdf,3,2026-01-08,2026-01-08,Aarav Fashion Exports,,COMPLETE,Yes
DOC-0000114,SHP-000017,EU-APP-0006,Fibre Declaration,MAT-6486_declaration.pdf,1,2026-12-08,2024-09-20,Quality Manager,,COMPLETE,Yes
DOC-0000115,SHP-000017,EU-APP-0006,Classification Memo,SHP-000017_EU-APP-0006_classification.pdf,1,2026-12-08,2026-12-08,Customs broker,,COMPLETE,Yes
DOC-0000116,SHP-000018,,Commercial Invoice,SHP-000018_invoice_v1.pdf,1,2026-09-09,2026-09-09,Narmada Clothing Pvt Ltd,,COMPLETE,Yes
DOC-0000117,SHP-000018,,Packing List,SHP-000018_packing_list.pdf,1,2026-09-09,2026-09-09,Narmada Clothing Pvt Ltd,,COMPLETE,Yes
DOC-0000118,SHP-000018,,Transport Document,SHP-000018_transport.pdf,1,2026-09-09,2026-09-09,OceanBridge Logistics,,COMPLETE,Yes
DOC-0000119,SHP-000018,EU-APP-0064,Label Artwork,EU-APP-0064_FR_label_v4.pdf,3,2026-04-26,2026-04-26,Narmada Clothing Pvt Ltd,,COMPLETE,Yes
DOC-0000120,SHP-000018,EU-APP-0064,Fibre Declaration,MAT-1018_declaration.pdf,1,2026-09-09,2025-02-07,A. Sharma,,COMPLETE,Yes
DOC-0000121,SHP-000018,EU-APP-0064,Classification Memo,SHP-000018_EU-APP-0064_classification.pdf,1,2026-09-09,2026-09-09,Customs broker,,COMPLETE,Yes
DOC-0000122,SHP-000018,EU-APP-0064,Tariff Query Snapshot,SHP-000018_EU-APP-0064_tariff_query.pdf,1,2026-09-09,2026-08-15,Access2Markets export,,COMPLETE,Yes
DOC-0000123,SHP-000019,,Commercial Invoice,SHP-000019_invoice_v1.pdf,1,2026-10-17,2026-10-17,Indus Cottonwear Pvt Ltd,,COMPLETE,Yes
DOC-0000124,SHP-000019,,Packing List,SHP-000019_packing_list.pdf,1,2026-10-17,2026-10-17,Indus Cottonwear Pvt Ltd,,COMPLETE,Yes
DOC-0000125,SHP-000019,,Transport Document,SHP-000019_transport.pdf,1,2026-10-17,2026-10-17,OceanBridge Logistics,,COMPLETE,Yes
DOC-0000126,SHP-000019,EU-APP-0036,Fibre Declaration,MAT-6428_declaration.pdf,1,2026-10-17,2026-02-19,Quality Manager,,COMPLETE,Yes
DOC-0000127,SHP-000019,EU-APP-0036,Classification Memo,SHP-000019_EU-APP-0036_classification.pdf,1,2026-10-17,2026-10-17,Exporter classification team,,COMPLETE,Yes
DOC-0000128,SHP-000019,EU-APP-0036,Tariff Query Snapshot,SHP-000019_EU-APP-0036_tariff_query.pdf,1,2026-10-17,2026-07-05,Access2Markets export,,COMPLETE,Yes
DOC-0000129,SHP-000020,,Commercial Invoice,SHP-000020_invoice_v1.pdf,1,2026-09-06,2026-09-06,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000130,SHP-000020,,Packing List,SHP-000020_packing_list.pdf,1,2026-09-06,2026-09-06,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000131,SHP-000020,EU-APP-0030,Fibre Declaration,MAT-3073_declaration.pdf,1,2026-09-06,2025-06-27,M. Kumar,,COMPLETE,Yes
DOC-0000132,SHP-000020,EU-APP-0030,Tariff Query Snapshot,SHP-000020_EU-APP-0030_tariff_query.pdf,1,2026-09-06,2026-05-18,Access2Markets export,,COMPLETE,Yes
DOC-0000133,SHP-000020,EU-APP-0033,Fibre Declaration,MAT-3073_declaration.pdf,1,2026-09-06,2025-06-27,M. Kumar,,COMPLETE,Yes
DOC-0000134,SHP-000020,EU-APP-0033,Tariff Query Snapshot,SHP-000020_EU-APP-0033_tariff_query.pdf,1,2026-09-06,2026-05-16,Access2Markets export,,COMPLETE,Yes
DOC-0000135,SHP-000021,,Commercial Invoice,SHP-000021_invoice_v1.pdf,1,2026-08-30,2026-08-30,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000136,SHP-000021,,Packing List,SHP-000021_packing_list.pdf,1,2026-08-30,2026-08-30,Sunrise Clothing Co,,COMPLETE,Yes
DOC-0000137,SHP-000021,,Transport Document,SHP-000021_transport.pdf,1,2026-08-30,2026-08-30,OceanBridge Logistics,,COMPLETE,Yes
DOC-0000138,SHP-000021,EU-APP-0034,Fibre Declaration,MAT-6276_declaration.pdf,1,2026-08-30,2024-07-14,,,COMPLETE,Yes
DOC-0000139,SHP-000021,EU-APP-0034,Classification Memo,SHP-000021_EU-APP-0034_classification.pdf,1,2026-08-30,2026-08-30,Customs broker,,COMPLETE,Yes
DOC-0000140,SHP-000021,EU-APP-0034,Tariff Query Snapshot,SHP-000021_EU-APP-0034_tariff_query.pdf,1,2026-08-30,2026-08-13,Access2Markets export,,COMPLETE,Yes
DOC-0000141,SHP-000022,,Commercial Invoice,SHP-000022_invoice_v1.pdf,1,2026-08-09,2026-08-09,BlueRiver Fashions Pvt Ltd,,COMPLETE,Yes
DOC-0000142,SHP-000022,,Packing List,SHP-000022_packing_list.pdf,1,2026-08-09,2026-08-09,BlueRiver Fashions Pvt Ltd,,COMPLETE,Yes
DOC-0000143,SHP-000022,,Transport Document,SHP-000022_transport.pdf,1,2026-08-09,2026-08-09,BlueWave Logistics,,COMPLETE,Yes
DOC-0000144,SHP-000022,EU-APP-0072,Label Artwork,EU-APP-0072_NL_label_v4.pdf,4,2025-08-30,2025-08-30,BlueRiver Fashions Pvt Ltd,,COMPLETE,Yes
DOC-0000145,SHP-000022,EU-APP-0072,Fibre Declaration,MAT-9130_declaration.pdf,1,2026-08-09,2025-02-13,,,COMPLETE,Yes
DOC-0000146,SHP-000022,EU-APP-0072,Classification Memo,SHP-000022_EU-APP-0072_classification.pdf,1,2026-08-09,2026-08-09,Customs broker,,COMPLETE,Yes
DOC-0000147,SHP-000022,EU-APP-0072,Tariff Query Snapshot,SHP-000022_EU-APP-0072_tariff_query.pdf,1,2026-08-09,2026-07-14,Access2Markets export,,COMPLETE,Yes
DOC-0000148,SHP-000023,,Commercial Invoice,SHP-000023_invoice_v1.pdf,1,2026-11-18,2026-11-18,Silverline Garments LLP,,COMPLETE,Yes
DOC-0000149,SHP-000023,,Packing List,SHP-000023_packing_list.pdf,1,2026-11-18,2026-11-18,Silverline Garments LLP,,COMPLETE,Yes
DOC-0000150,SHP-000023,,Transport Document,SHP-000023_transport.pdf,1,2026-11-18,2026-11-18,OceanBridge Logistics,,COMPLETE,Yes
DOC-0000151,SHP-000023,EU-APP-0030,Fibre Declaration,MAT-8808_declaration.pdf,1,2026-11-18,2024-10-23,M. Kumar,,COMPLETE,Yes
DOC-0000152,SHP-000023,EU-APP-0030,Classification Memo,SHP-000023_EU-APP-0030_classification.pdf,1,2026-11-18,2026-11-18,Customs broker,,COMPLETE,Yes
DOC-0000153,SHP-000023,EU-APP-0030,Tariff Query Snapshot,SHP-000023_EU-APP-0030_tariff_query.pdf,1,2026-11-18,2026-10-06,Access2Markets export,,COMPLETE,Yes
DOC-0000154,SHP-000024,,Commercial Invoice,SHP-000024_invoice_v1.pdf,1,2026-09-24,2026-09-24,Everest Apparel Exports Pvt Ltd,,COMPLETE,Yes
DOC-0000155,SHP-000024,,Packing List,SHP-000024_packing_list.pdf,1,2026-09-24,2026-09-24,Everest Apparel Exports Pvt Ltd,,COMPLETE,Yes
DOC-0000156,SHP-000024,,Transport Document,SHP-000024_transport.pdf,1,2026-09-24,2026-09-24,BlueWave Logistics,,COMPLETE,Yes
DOC-0000157,SHP-000024,EU-APP-0008,Fibre Declaration,MAT-7933_declaration.pdf,1,2026-09-24,2024-06-14,A. Sharma,,COMPLETE,Yes
DOC-0000158,SHP-000024,EU-APP-0008,Tariff Query Snapshot,SHP-000024_EU-APP-0008_tariff_query.pdf,1,2026-09-24,2026-08-16,Access2Markets export,,COMPLETE,Yes
DOC-0000159,SHP-000025,,Commercial Invoice,SHP-000025_invoice_v1.pdf,1,2026-07-26,2026-07-26,Aarav Fashion Exports,,COMPLETE,Yes
DOC-0000160,SHP-000025,,Packing List,SHP-000025_packing_list.pdf,1,2026-07-26,2026-07-26,Aarav Fashion Exports,,COMPLETE,Yes
DOC-0000161,SHP-000025,,Transport Document,SHP-000025_transport.pdf,1,2026-07-26,2026-07-26,OceanBridge Logistics,,COMPLETE,Yes
