document_id,field_name,field_value_raw,page_number,extraction_confidence
DOC-0000012,seller_name,BlueRiver Fashions Pvt Ltd,2,0.76
DOC-0000012,buyer_name,Harbor Textiles SAS,2,0.78
DOC-0000012,quantity_total,6699,3,0.77
DOC-0000012,total_value,164212.59,2,0.82
DOC-0000012,currency,USD,2,0.89
DOC-0000012,incoterm,DAP,2,0.76
DOC-0000012,origin_country,India,1,0.77
DOC-0000012,hs_code,610910,1,0.96
DOC-0000013,quantity_total,6699,3,0.98
DOC-0000013,package_count,66,2,0.87
DOC-0000013,gross_weight_kg,1800.93,2,0.84
DOC-0000013,volume_cbm,11.283,1,0.83
DOC-0000013,marks_and_numbers,MARK-0003,2,0.86
DOC-0000014,supplier_id,SUP-0020,1,0.8
DOC-0000014,material_code,MAT-9176,1,0.87
DOC-0000014,sku_reference,EU-APP-0016,2,0.79
DOC-0000014,fibre_composition,95% cotton / 5% elastane,1,0.86
DOC-0000014,signature_present,Yes,1,0.82
DOC-0000014,valid_until,,2,0.77
DOC-0000015,product_description,Adult unisex knitted t-shirt - Olive,2,0.93
DOC-0000015,proposed_code,610910,1,0.95
DOC-0000015,basis,"construction, fibre composition and garment type",2,0.9
DOC-0000015,decision_type,Reviewed,3,0.89
DOC-0000016,origin,India,3,0.91
DOC-0000016,destination,Netherlands,2,0.92
DOC-0000016,product_code,610910,2,0.92
DOC-0000016,query_date,2026-05-18,1,0.94
DOC-0000016,result_summary,Tariff and measures displayed in attached export,3,0.76
DOC-0000017,fibre_text,100% polyester,3,0.83
DOC-0000017,language_code,nl,2,0.93
DOC-0000017,animal_origin_statement,,2,0.76
DOC-0000017,manufacturer_name,Royal Knitwear Exports,3,0.86
DOC-0000017,product_identifier,EU-APP-0074,3,0.88
DOC-0000017,care_text,See symbols,2,0.76
DOC-0000018,supplier_id,SUP-0015,1,0.93
DOC-0000018,material_code,MAT-4019,2,0.88
DOC-0000018,sku_reference,EU-APP-0074,1,0.91
DOC-0000018,fibre_composition,100% polyester,1,0.94
DOC-0000018,signature_present,Yes,3,0.76
DOC-0000018,valid_until,2027-01-30,2,0.87
DOC-0000019,product_description,Adult men woven shirt - Navy,3,0.92
DOC-0000019,proposed_code,620520,1,0.9
DOC-0000019,basis,"construction, fibre composition and garment type",3,0.88
DOC-0000019,decision_type,Buyer-provided,1,0.88
DOC-0000020,quantity_total,4707,1,0.87
DOC-0000020,package_count,89,3,0.93
DOC-0000020,gross_weight_kg,2458.89,1,0.85
DOC-0000020,volume_cbm,15.996,2,0.96
DOC-0000020,marks_and_numbers,MARK-0004,3,0.8
DOC-0000021,fibre_text,60% cotton / 40% polyester,2,0.95
DOC-0000021,language_code,fr,3,0.98
DOC-0000021,animal_origin_statement,,1,0.8
DOC-0000021,manufacturer_name,Everest Apparel Exports Pvt Ltd,1,0.94
DOC-0000021,product_identifier,EU-APP-0009,3,0.86
DOC-0000021,care_text,See symbols,3,0.8
DOC-0000022,supplier_id,SUP-0001,1,0.89
DOC-0000022,material_code,MAT-5845,1,0.94
DOC-0000022,sku_reference,EU-APP-0009,1,0.82
DOC-0000022,fibre_composition,60% cotton / 40% polyester,3,0.88
DOC-0000022,signature_present,Yes,3,0.8
DOC-0000022,valid_until,2027-08-08,3,0.89
DOC-0000023,origin,India,2,0.92
DOC-0000023,destination,FR,2,0.99
DOC-0000023,product_code,610443,3,0.77
DOC-0000023,query_date,2026-05-29,1,0.83
DOC-0000023,result_summary,Tariff and measures displayed in attached export,3,0.88
DOC-0000024,fibre_text,100% cotton,3,0.95
DOC-0000024,language_code,fr,2,0.89
DOC-0000024,animal_origin_statement,,2,0.8
DOC-0000024,manufacturer_name,Vertex Apparel Industries,3,0.81
DOC-0000024,product_identifier,EU-APP-0003,1,0.87
DOC-0000024,care_text,Machine wash cold,1,0.86
DOC-0000025,supplier_id,SUP-0016,1,0.98
DOC-0000025,material_code,MAT-3166,2,0.91
DOC-0000025,sku_reference,EU-APP-0003,1,0.79
DOC-0000025,fibre_composition,100% cotton,1,0.93
DOC-0000025,signature_present,Yes,3,0.88
DOC-0000025,valid_until,2027-07-11,1,0.96
DOC-0000026,product_description,Child unisex knitted sweatshirt - White,2,0.96
DOC-0000026,proposed_code,611020,3,0.97
DOC-0000026,basis,"construction, fibre composition and garment type",1,0.85
DOC-0000026,decision_type,Reviewed,3,0.77
DOC-0000027,origin,India,1,0.97
DOC-0000027,destination,FR,2,0.97
DOC-0000027,product_code,611020,1,0.99
DOC-0000027,query_date,2026-06-05,2,0.93
DOC-0000027,result_summary,Tariff and measures displayed in attached export,1,0.96
DOC-0000028,invoice_number,INV-000005,2,0.91
DOC-0000028,seller_name,Sunrise Clothing Co,3,0.87
DOC-0000028,buyer_name,Riviera Textiles SRL,1,0.94
DOC-0000028,quantity_total,3935,2,0.95
DOC-0000028,total_value,40019.57,2,0.99
DOC-0000028,currency,USD,2,0.8
DOC-0000028,incoterm,CIF,2,0.91
DOC-0000028,origin_country,India,1,0.8
DOC-0000028,hs_code,620520,2,0.93
DOC-0000029,quantity_total,3935,1,0.93
DOC-0000029,package_count,47,1,0.83
DOC-0000029,gross_weight_kg,1283.12,3,0.78
DOC-0000029,volume_cbm,8.231,1,0.89
DOC-0000029,marks_and_numbers,MARK-0005,2,0.83
DOC-0000030,fibre_text,70% viscose / 30% linen,1,0.79
DOC-0000030,language_code,it,1,0.98
DOC-0000030,animal_origin_statement,,2,0.92
DOC-0000030,manufacturer_name,Sunrise Clothing Co,2,0.88
DOC-0000030,product_identifier,EU-APP-0030,1,0.95
DOC-0000030,care_text,Machine wash cold,1,0.78
DOC-0000031,supplier_id,SUP-0018,1,0.81
DOC-0000031,material_code,MAT-5392,2,0.79
DOC-0000031,sku_reference,EU-APP-0030,1,0.77
DOC-0000031,fibre_composition,70% viscose / 30% linen,1,0.84
DOC-0000031,signature_present,Yes,3,0.78
DOC-0000031,valid_until,2026-10-28,3,0.93
DOC-0000032,product_description,Adult men woven shirt - Olive,1,0.96
DOC-0000032,proposed_code,620520,1,0.86
DOC-0000032,basis,"construction, fibre composition and garment type",3,0.85
DOC-0000032,decision_type,Proposed,3,0.97
DOC-0000033,origin,India,1,0.93
DOC-0000033,destination,IT,1,0.97
DOC-0000033,product_code,620520,2,0.91
DOC-0000033,query_date,2026-06-21,2,0.78
DOC-0000033,result_summary,Tariff and measures displayed in attached export,1,0.77
DOC-0000034,supplier_id,SUP-0009,2,0.94
DOC-0000034,material_code,MAT-5746,1,0.83
DOC-0000034,sku_reference,,1,0.77
DOC-0000034,fibre_composition,70% viscose / 30% linen,1,0.92
DOC-0000034,signature_present,Yes,3,0.91
DOC-0000034,valid_until,2027-04-09,1,0.9
DOC-0000035,product_description,Adult men woven shirt - Grey,2,0.84
DOC-0000035,proposed_code,620520,3,0.9
DOC-0000035,basis,"construction, fibre composition and garment type",3,0.93
DOC-0000035,decision_type,Buyer-provided,3,0.99
DOC-0000036,origin,India,3,0.78
DOC-0000036,destination,IT,1,0.8
DOC-0000036,product_code,620520,1,0.76
DOC-0000036,query_date,2026-07-27,3,0.8
DOC-0000036,result_summary,Tariff and measures displayed in attached export,1,0.86
DOC-0000037,invoice_number,INV-000006,2,0.77
DOC-0000037,seller_name,BlueRiver Fashions Pvt Ltd,3,0.78
DOC-0000037,buyer_name,Galeria Retail SAS,1,0.99
DOC-0000037,quantity_total,3884,3,0.9
DOC-0000037,total_value,17244.96,3,0.99
DOC-0000037,currency,USD,2,0.96
DOC-0000037,incoterm,CIP,1,0.98
DOC-0000037,origin_country,India,2,0.8
DOC-0000037,hs_code,620462,1,0.98
DOC-0000038,quantity_total,3884,3,0.97
DOC-0000038,package_count,74,1,0.8
DOC-0000038,gross_weight_kg,2070.53,1,0.8
DOC-0000038,volume_cbm,9.804,3,0.9
DOC-0000038,marks_and_numbers,,1,0.82
DOC-0000039,supplier_id,SUP-0005,1,0.8
DOC-0000039,material_code,MAT-1694,1,0.9
DOC-0000039,sku_reference,,3,0.88
DOC-0000039,fibre_composition,95% cotton / 5% elastane,2,0.98
DOC-0000039,signature_present,Yes,3,0.99
DOC-0000039,valid_until,2027-03-05,1,0.96
DOC-0000040,product_description,Adult women woven trousers - Black,1,0.77
DOC-0000040,proposed_code,620462,2,0.97
DOC-0000040,basis,"construction, fibre composition and garment type",3,0.92
DOC-0000040,decision_type,Reviewed,3,0.78
DOC-0000041,invoice_number,INV-000007,3,0.95
DOC-0000041,seller_name,Silverline Garments LLP,1,0.94
DOC-0000041,buyer_name,Urban Stores SL,1,0.94
DOC-0000041,quantity_total,856,3,0.87
DOC-0000041,total_value,21947.84,2,0.89
DOC-0000041,currency,USD,3,0.81
DOC-0000041,incoterm,CIP,2,0.96
DOC-0000041,origin_country,India,3,0.85
DOC-0000041,hs_code,610910,2,0.82
DOC-0000042,quantity_total,856,2,0.76
DOC-0000042,package_count,8,1,0.87
DOC-0000042,gross_weight_kg,199.75,3,0.83
DOC-0000042,volume_cbm,0.978,1,0.95
DOC-0000042,marks_and_numbers,MARK-0007,1,0.81
DOC-0000043,document_number,AWB-362610,3,0.79
DOC-0000043,shipper,Silverline Garments LLP,1,0.79
DOC-0000043,consignee,Urban Stores SL,1,0.92
DOC-0000043,destination_port,Marseille,3,0.82
DOC-0000043,package_count,8,1,0.86
DOC-0000043,gross_weight_kg,199.75,3,0.83
DOC-0000044,supplier_id,SUP-0016,2,0.98
DOC-0000044,material_code,MAT-9576,2,0.98
DOC-0000044,sku_reference,EU-APP-0077,2,0.83
DOC-0000044,fibre_composition,100% cotton,3,0.94
DOC-0000044,signature_present,Yes,1,0.96
DOC-0000044,valid_until,2027-03-03,2,0.95
DOC-0000045,product_description,Adult unisex knitted t-shirt - Pink,1,0.99
DOC-0000045,proposed_code,610910,3,0.91
DOC-0000045,basis,"construction, fibre composition and garment type",1,0.92
DOC-0000045,decision_type,Buyer-provided,1,0.8
DOC-0000046,origin,India,1,0.86
DOC-0000046,destination,France,2,0.84
DOC-0000046,product_code,610910,1,0.96
DOC-0000046,query_date,2026-06-01,3,0.94
DOC-0000046,result_summary,Tariff and measures displayed in attached export,2,0.96
DOC-0000047,invoice_number,INV-000008,2,0.97
DOC-0000047,seller_name,Triveni Textiles Ltd,2,0.76
DOC-0000047,buyer_name,Moda Textiles SAS,1,0.83
DOC-0000047,quantity_total,3592,3,0.79
DOC-0000047,total_value,45326.16,1,0.92
DOC-0000047,currency,USD,3,0.92
DOC-0000047,incoterm,FOB,2,0.96
DOC-0000047,origin_country,India,2,0.81
DOC-0000047,hs_code,620462,2,0.88
DOC-0000048,quantity_total,3492,1,0.76
DOC-0000048,package_count,74,3,0.96
DOC-0000048,gross_weight_kg,2050.91,3,0.77
DOC-0000048,volume_cbm,11.649,3,0.93
DOC-0000048,marks_and_numbers,MARK-0008,1,0.91
DOC-0000049,supplier_id,SUP-0003,2,0.91
DOC-0000049,material_code,MAT-4280,3,0.91
DOC-0000049,sku_reference,EU-APP-0039,2,0.8
DOC-0000049,fibre_composition,100% cotton,1,0.95
DOC-0000049,signature_present,Yes,1,0.9
DOC-0000049,valid_until,2026-08-23,1,0.9
DOC-0000050,product_description,Adult women woven trousers - Navy,3,0.79
DOC-0000050,proposed_code,620462,2,0.89
DOC-0000050,basis,"construction, fibre composition and garment type",1,0.85
DOC-0000050,decision_type,Buyer-provided,2,0.88
DOC-0000051,origin,India,1,0.91
DOC-0000051,destination,IT,3,0.82
DOC-0000051,product_code,620462,3,0.93
DOC-0000051,query_date,2026-10-04,3,0.85
DOC-0000051,result_summary,Tariff and measures displayed in attached export,3,0.97
DOC-0000052,invoice_number,INV-000009,3,0.79
DOC-0000052,seller_name,Aarav Fashion Exports,3,0.79
DOC-0000052,buyer_name,Harbor Stores BV,1,0.86
DOC-0000052,quantity_total,4786,1,0.94
DOC-0000052,total_value,110999.16,2,0.89
DOC-0000052,currency,USD,1,0.82
DOC-0000052,incoterm,FOB,3,0.89
DOC-0000052,origin_country,India,1,0.96
DOC-0000052,hs_code,610910,1,0.9
DOC-0000053,quantity_total,4786,3,0.96
DOC-0000053,package_count,80,1,0.95
DOC-0000053,gross_weight_kg,2213.08,1,0.87
DOC-0000053,volume_cbm,17.822,1,0.91
DOC-0000053,marks_and_numbers,MARK-0009,3,0.9
DOC-0000054,supplier_id,SUP-0004,1,0.88
DOC-0000054,material_code,MAT-1619,3,0.84
DOC-0000054,sku_reference,,2,0.98
DOC-0000054,fibre_composition,100% polyester,1,0.94
DOC-0000054,signature_present,Yes,3,0.89
DOC-0000054,valid_until,2027-09-22,1,0.79
DOC-0000055,product_description,Adult unisex knitted t-shirt - Pink,3,0.92
DOC-0000055,proposed_code,610910,1,0.82
DOC-0000055,basis,"construction, fibre composition and garment type",3,0.78
DOC-0000055,decision_type,Reviewed,2,0.92
DOC-0000056,origin,India,2,0.93
DOC-0000056,destination,DE,2,0.91
DOC-0000056,product_code,610910,2,0.82
DOC-0000056,query_date,2026-06-11,1,0.97
DOC-0000056,result_summary,Tariff and measures displayed in attached export,3,0.95
DOC-0000057,fibre_text,60% cotton / 40% polyester,3,0.83
DOC-0000057,language_code,de,2,0.84
DOC-0000057,animal_origin_statement,,1,0.9
DOC-0000057,manufacturer_name,BlueRiver Fashions Pvt Ltd,2,0.83
DOC-0000057,product_identifier,EU-APP-0058,3,0.79
DOC-0000057,care_text,Machine wash cold,2,0.78
DOC-0000058,supplier_id,SUP-0022,1,0.77
DOC-0000058,material_code,MAT-5904,3,0.92
DOC-0000058,sku_reference,EU-APP-0058,3,0.95
DOC-0000058,fibre_composition,60% cotton / 40% polyester,2,0.79
DOC-0000058,signature_present,Yes,1,0.94
DOC-0000058,valid_until,2027-07-23,2,0.97
DOC-0000059,product_description,Adult women knitted dress - Grey,3,0.91
DOC-0000059,proposed_code,610443,2,0.92
DOC-0000059,basis,"construction, fibre composition and garment type",1,0.82
DOC-0000059,decision_type,Proposed,1,0.85
DOC-0000060,origin,India,3,0.99
DOC-0000060,destination,DE,1,0.95
DOC-0000060,product_code,610443,1,0.95
DOC-0000060,query_date,2026-07-03,1,0.83
DOC-0000060,result_summary,Tariff and measures displayed in attached export,1,0.8
DOC-0000061,invoice_number,INV-000010,1,0.98
DOC-0000061,seller_name,Triveni Textiles Ltd,1,0.98
DOC-0000061,buyer_name,Moda Imports SAS,3,0.81
DOC-0000061,quantity_total,3186,1,0.76
DOC-0000061,total_value,57698.46,3,0.95
DOC-0000061,currency,USD,1,0.88
DOC-0000061,incoterm,CIP,2,0.96
DOC-0000061,origin_country,India,1,0.79
DOC-0000061,hs_code,620630,1,0.81
DOC-0000062,quantity_total,3186,2,0.99
DOC-0000062,package_count,34,3,0.81
DOC-0000062,gross_weight_kg,946.58,3,0.83
DOC-0000062,volume_cbm,5.557,2,0.84
DOC-0000062,marks_and_numbers,MARK-0010,3,0.95
DOC-0000063,document_number,AWB-668463,3,0.83
DOC-0000063,shipper,Triveni Textiles Ltd,3,0.9
DOC-0000063,consignee,Moda Imports SAS,3,0.86
DOC-0000063,destination_port,Genoa,1,0.81
DOC-0000063,package_count,34,3,0.8
DOC-0000063,gross_weight_kg,946.58,1,0.98
DOC-0000064,supplier_id,SUP-0025,2,0.87
DOC-0000064,material_code,MAT-9812,1,0.85
DOC-0000064,sku_reference,,3,0.83
DOC-0000064,fibre_composition,100% polyester,2,0.99
DOC-0000064,signature_present,Yes,3,0.83
DOC-0000064,valid_until,2027-06-11,2,0.85
DOC-0000065,product_description,Adult women woven blouse - Navy,2,0.87
DOC-0000065,proposed_code,620630,3,0.76
DOC-0000065,basis,"construction, fibre composition and garment type",3,0.83
DOC-0000065,decision_type,Buyer-provided,2,0.8
DOC-0000066,origin,India,3,0.8
DOC-0000066,destination,IT,2,0.83
DOC-0000066,product_code,620630,1,0.91
DOC-0000066,query_date,2026-07-12,2,0.95
DOC-0000066,result_summary,Tariff and measures displayed in attached export,1,0.86
DOC-0000067,invoice_number,INV-000011,1,0.87
DOC-0000067,seller_name,Sunrise Clothing Co,1,0.9
DOC-0000067,buyer_name,Moda Imports SAS,3,0.91
DOC-0000067,quantity_total,1895,1,0.87
DOC-0000067,total_value,11638.9,1,0.84
DOC-0000067,currency,USD,2,0.99
DOC-0000067,incoterm,DAP,1,0.95
DOC-0000067,origin_country,India,1,0.84
DOC-0000067,hs_code,610443,2,0.87
DOC-0000068,quantity_total,1895,3,0.83
DOC-0000068,package_count,44,2,0.85
DOC-0000068,gross_weight_kg,1187.55,3,0.94
DOC-0000068,volume_cbm,8.187,2,0.94
DOC-0000068,marks_and_numbers,MARK-0011,2,0.85
DOC-0000069,fibre_text,60% cotton / 40% polyester,2,0.78
DOC-0000069,language_code,it,1,0.85
DOC-0000069,animal_origin_statement,,2,0.88
DOC-0000069,manufacturer_name,Triveni Textiles Ltd,1,0.84
DOC-0000069,product_identifier,,2,0.91
DOC-0000069,care_text,Machine wash cold,2,0.97
DOC-0000070,supplier_id,SUP-0002,2,0.79
DOC-0000070,material_code,MAT-4540,1,0.91
DOC-0000070,sku_reference,,2,0.79
DOC-0000070,fibre_composition,70% viscose / 30% linen,1,0.98
DOC-0000070,signature_present,No,3,0.78
DOC-0000070,valid_until,2026-10-03,3,0.79
DOC-0000071,product_description,Adult women knitted dress - Beige,1,0.77
DOC-0000071,proposed_code,610443,1,0.93
DOC-0000071,basis,"construction, fibre composition and garment type",3,0.87
DOC-0000071,decision_type,Proposed,2,0.96
DOC-0000072,fibre_text,100% cotton,3,0.85
DOC-0000072,language_code,it,3,0.8
DOC-0000072,animal_origin_statement,,2,0.93
DOC-0000072,manufacturer_name,Vertex Apparel Industries,2,0.93
DOC-0000072,product_identifier,,2,0.95
DOC-0000072,care_text,,3,0.88
DOC-0000073,supplier_id,SUP-0001,2,0.85
DOC-0000073,material_code,MAT-2536,3,0.78
DOC-0000073,sku_reference,,3,0.89
DOC-0000073,fibre_composition,70% viscose / 30% linen,2,0.87
DOC-0000073,signature_present,Yes,1,0.98
DOC-0000073,valid_until,2026-10-04,3,0.95
DOC-0000074,product_description,Adult men woven jacket - Blue,3,0.86
DOC-0000074,proposed_code,62019300,3,0.77
DOC-0000074,basis,"construction, fibre composition and garment type",3,0.98
DOC-0000074,decision_type,Buyer-provided,1,0.9
DOC-0000075,invoice_number,INV-000012,2,0.93
DOC-0000075,seller_name,Vertex Apparel Industries,1,0.92
DOC-0000075,buyer_name,Moda Fashion SAS,1,0.81
DOC-0000075,quantity_total,914,1,0.88
DOC-0000075,total_value,16159.52,1,0.97
DOC-0000075,currency,USD,2,0.86
DOC-0000075,incoterm,CIF,1,0.79
DOC-0000075,origin_country,India,1,0.82
DOC-0000075,hs_code,611020,1,0.89
DOC-0000076,quantity_total,914,3,0.8
DOC-0000076,package_count,25,3,0.81
DOC-0000076,gross_weight_kg,676.48,2,0.77
DOC-0000076,volume_cbm,3.609,3,0.83
DOC-0000076,marks_and_numbers,MARK-0012,2,0.89
DOC-0000077,fibre_text,100% polyester,2,0.81
DOC-0000077,language_code,es,3,0.91
DOC-0000077,animal_origin_statement,,1,0.79
DOC-0000077,manufacturer_name,Lotus Garments LLP,1,0.88
DOC-0000077,product_identifier,EU-APP-0038,3,0.79
DOC-0000077,care_text,Machine wash cold,3,0.98
DOC-0000078,supplier_id,SUP-0025,1,0.77
DOC-0000078,material_code,MAT-8808,2,0.77
DOC-0000078,sku_reference,,2,0.78
DOC-0000078,fibre_composition,100% cotton,3,0.83
DOC-0000078,signature_present,No,1,0.92
DOC-0000078,valid_until,2026-09-07,2,0.83
DOC-0000079,product_description,Adult unisex knitted hoodie - Beige,3,0.88
DOC-0000079,proposed_code,611020,2,0.84
DOC-0000079,basis,"construction, fibre composition and garment type",2,0.95
DOC-0000079,decision_type,Proposed,1,0.85
DOC-0000080,origin,India,3,0.87
DOC-0000080,destination,ES,3,0.96
DOC-0000080,product_code,611020,2,0.89
DOC-0000080,query_date,2026-10-01,3,0.8
DOC-0000080,result_summary,Tariff and measures displayed in attached export,1,0.94
DOC-0000081,invoice_number,INV-000013,1,0.84
DOC-0000081,seller_name,Sunrise Clothing Co,2,0.77
DOC-0000081,buyer_name,Moda Fashion GmbH,3,0.97
DOC-0000081,quantity_total,2163,1,0.78
DOC-0000081,total_value,52063.41,3,0.88
DOC-0000081,currency,USD,3,0.93
DOC-0000081,incoterm,CIP,1,0.91
DOC-0000081,origin_country,India,2,0.88
DOC-0000081,hs_code,620520,3,0.95
DOC-0000082,quantity_total,2163,2,0.84
DOC-0000082,package_count,27,2,0.77
DOC-0000082,gross_weight_kg,745.96,2,0.93
DOC-0000082,volume_cbm,3.883,2,0.82
DOC-0000082,marks_and_numbers,,3,0.86
DOC-0000083,supplier_id,SUP-0006,1,0.78
DOC-0000083,material_code,MAT-9130,1,0.84
DOC-0000083,sku_reference,EU-APP-0072,3,0.86
DOC-0000083,fibre_composition,95% cotton / 5% elastane,2,0.77
DOC-0000083,signature_present,Yes,3,0.91
DOC-0000083,valid_until,2026-11-23,1,0.95
DOC-0000084,product_description,Adult men woven shirt - Red,1,0.88
DOC-0000084,proposed_code,620520,2,0.95
DOC-0000084,basis,"construction, fibre composition and garment type",1,0.92
DOC-0000084,decision_type,Proposed,2,0.82
DOC-0000085,origin,India,1,0.83
DOC-0000085,destination,Spain,2,0.86
DOC-0000085,product_code,620520,3,0.81
DOC-0000085,query_date,2026-08-26,1,0.98
DOC-0000085,result_summary,Tariff and measures displayed in attached export,2,0.92
DOC-0000086,invoice_number,INV-000014,3,0.94
DOC-0000086,seller_name,Indus Cottonwear Pvt Ltd,2,0.95
DOC-0000086,buyer_name,Moda Textiles SAS,3,0.78
DOC-0000086,quantity_total,6996,1,0.82
DOC-0000086,total_value,151450.28,1,0.77
DOC-0000086,currency,USD,3,0.79
DOC-0000086,incoterm,DAP,1,0.78
DOC-0000086,origin_country,India,1,0.82
DOC-0000086,hs_code,61102000,1,0.91
DOC-0000087,quantity_total,6996,2,0.97
DOC-0000087,package_count,103,1,0.98
DOC-0000087,gross_weight_kg,2839.02,3,0.85
DOC-0000087,volume_cbm,14.992,2,0.89
DOC-0000087,marks_and_numbers,MARK-0014,3,0.8
DOC-0000088,fibre_text,100% polyester,2,0.76
DOC-0000088,language_code,it,3,0.92
DOC-0000088,animal_origin_statement,,3,0.79
DOC-0000088,manufacturer_name,Aarav Fashion Exports,2,0.85
DOC-0000088,product_identifier,EU-APP-0064,2,0.95
DOC-0000088,care_text,Machine wash cold,2,0.92
DOC-0000089,supplier_id,SUP-0003,2,0.84
DOC-0000089,material_code,MAT-1018,1,0.97
DOC-0000089,sku_reference,EU-APP-0064,2,0.96
DOC-0000089,fibre_composition,100% polyester,1,0.78
DOC-0000089,signature_present,Yes,3,0.8
DOC-0000089,valid_until,2027-01-23,2,0.87
DOC-0000090,origin,India,1,0.94
DOC-0000090,destination,IT,1,0.95
DOC-0000090,product_code,61102000,3,0.93
DOC-0000090,query_date,2026-09-06,3,0.8
DOC-0000090,result_summary,Tariff and measures displayed in attached export,2,0.86
DOC-0000091,supplier_id,SUP-0009,2,0.88
DOC-0000091,material_code,MAT-5746,1,0.93
DOC-0000091,sku_reference,,1,0.92
DOC-0000091,fibre_composition,70% viscose / 30% linen,2,0.84
DOC-0000091,signature_present,Yes,2,0.82
DOC-0000091,valid_until,2027-04-09,3,0.99
DOC-0000092,origin,India,3,0.82
DOC-0000092,destination,IT,2,0.92
DOC-0000092,product_code,620520,3,0.82
DOC-0000092,query_date,2026-08-17,3,0.87
DOC-0000092,result_summary,Tariff and measures displayed in attached export,2,0.9
DOC-0000093,supplier_id,SUP-0021,2,0.91
DOC-0000093,material_code,MAT-1935,2,0.77
DOC-0000093,sku_reference,EU-APP-0043,3,0.98
DOC-0000093,fibre_composition,100% cotton,3,0.89
DOC-0000093,signature_present,No,2,0.93
DOC-0000093,valid_until,2027-09-17,3,0.98
DOC-0000094,product_description,Child unisex sweatshirt - Grey,1,0.81
DOC-0000094,proposed_code,611020,1,0.79
DOC-0000094,basis,"construction, fibre composition and garment type",2,0.97
DOC-0000094,decision_type,Reviewed,3,0.94
DOC-0000095,invoice_number,INV-000015,2,0.85
DOC-0000095,seller_name,Saffron Apparel Works,2,0.9
DOC-0000095,buyer_name,Nord Imports SAS,1,0.79
DOC-0000095,quantity_total,1806,3,0.91
DOC-0000095,total_value,46594.8,3,0.93
DOC-0000095,currency,USD,2,0.8
DOC-0000095,incoterm,FOB,2,0.94
DOC-0000095,origin_country,India,3,0.83
DOC-0000095,hs_code,610910,2,0.83
DOC-0000096,quantity_total,1806,2,0.92
DOC-0000096,package_count,16,1,0.88
DOC-0000096,gross_weight_kg,422.89,1,0.9
DOC-0000096,volume_cbm,1.949,2,0.85
DOC-0000096,marks_and_numbers,MARK-0015,3,0.97
DOC-0000097,supplier_id,SUP-0015,3,0.78
