rate_id,provider_name,origin_city,destination_country_raw,destination_port,transport_mode,rate_basis,base_rate,currency,minimum_charge,origin_charges,destination_charges,estimated_transit_days,valid_from,valid_to,weight_min_kg,weight_max_kg
RATE-000042,TransGlobe Freight,Delhi,FR,Le Havre,Sea LCL,per_cbm,173.49,USD,243.36,186.95,79.79,38,2026-07-01,2027-03-31,100,28000
RATE-000043,OceanBridge Logistics,Delhi,FR,Le Havre,Sea LCL,per_cbm,157.36,EUR,248.32,172.83,149.9,38,2026-07-01,2027-03-31,100,28000
RATE-000044,SkyCargo Partners,Delhi,FR,Le Havre,Sea LCL,per_cbm,125.98,EUR,277.37,96.91,66.82,29,2026-07-01,2027-03-31,100,28000
RATE-000045,BlueWave Logistics,Delhi,FR,Le Havre,Sea FCL,per_container,2138.82,EUR,301.37,202.47,147.97,22,2026-07-01,2027-03-31,100,28000
RATE-000046,TransGlobe Freight,Delhi,FR,Le Havre,Sea FCL,per_container,3222.3,EUR,488.98,110.54,174.2,29,2026-07-01,2027-03-31,100,28000
RATE-000047,OceanBridge Logistics,Delhi,FR,Le Havre,Sea FCL,per_container,1907.23,USD,180.2,207.9,113.09,35,2026-07-01,2027-03-31,100,28000
RATE-000048,SkyCargo Partners,Delhi,FR,Le Havre,Sea FCL,per_container,2192.78,USD,488.96,82.91,183.4,27,2026-07-01,2027-03-31,100,28000
RATE-000049,BlueWave Logistics,Delhi,FR,Marseille,Air,per_kg,5.31,USD,146.69,163.3,133.76,5,2026-07-01,2027-03-31,1,5000
RATE-000050,TransGlobe Freight,Delhi,FR,Marseille,Air,per_kg,6.89,USD,290.8,201.34,159.16,4,2026-07-01,2027-03-31,1,5000
RATE-000051,OceanBridge Logistics,Delhi,FR,Marseille,Air,per_kg,6.4,USD,109.82,210.12,168.54,7,2026-07-01,2027-03-31,1,5000
RATE-000052,SkyCargo Partners,Delhi,FR,Marseille,Air,per_kg,5.45,EUR,327.77,235.34,145.51,5,2026-07-01,2027-03-31,1,5000
RATE-000053,BlueWave Logistics,Delhi,FR,Marseille,Sea LCL,per_cbm,230.36,USD,268.8,236.29,141.07,27,2026-07-01,2027-03-31,100,28000
RATE-000054,TransGlobe Freight,Delhi,FR,Marseille,Sea LCL,per_cbm,162.07,EUR,235.28,111.3,135.49,28,2026-07-01,2027-03-31,100,28000
RATE-000055,OceanBridge Logistics,Delhi,FR,Marseille,Sea LCL,per_cbm,142.23,USD,129.32,178.6,168.09,38,2026-07-01,2027-03-31,100,28000
RATE-000056,SkyCargo Partners,Delhi,FR,Marseille,Sea LCL,per_cbm,154.66,USD,478.17,124.3,82.58,34,2026-07-01,2027-03-31,100,28000
RATE-000057,BlueWave Logistics,Delhi,FR,Marseille,Sea FCL,per_container,3393.88,USD,173.09,89.44,100.45,33,2026-07-01,2027-03-31,100,28000
RATE-000058,TransGlobe Freight,Delhi,FR,Marseille,Sea FCL,per_container,2626.05,EUR,301.27,108.85,77.95,31,2026-07-01,2027-03-31,100,28000
RATE-000059,OceanBridge Logistics,Delhi,FR,Marseille,Sea FCL,per_container,2404.95,USD,114.75,233.4,174.93,31,2026-07-01,2027-03-31,100,28000
RATE-000060,SkyCargo Partners,Delhi,FR,Marseille,Sea FCL,per_container,3347.41,EUR,460.12,92.62,140.73,36,2026-07-01,2027-03-31,100,28000
RATE-000061,BlueWave Logistics,Delhi,IT,Genoa,Air,per_kg,5.95,USD,338.83,133.25,71.57,6,2026-07-01,2027-03-31,1,5000
RATE-000062,TransGlobe Freight,Delhi,IT,Genoa,Air,per_kg,6.82,USD,439.43,194.65,129.67,5,2026-07-01,2027-03-31,1,5000
RATE-000063,OceanBridge Logistics,Delhi,IT,Genoa,Air,per_kg,5.02,EUR,159.91,182.95,173.12,7,2026-07-01,2027-03-31,1,5000
RATE-000064,SkyCargo Partners,Delhi,IT,Genoa,Air,per_kg,4.37,USD,122.64,102.03,96.44,9,2026-07-01,2027-03-31,1,5000
RATE-000065,BlueWave Logistics,Delhi,IT,Genoa,Sea LCL,per_cbm,259.19,USD,138.97,157.45,175.2,34,2026-07-01,2027-03-31,100,28000
RATE-000066,TransGlobe Freight,Delhi,IT,Genoa,Sea LCL,per_cbm,161.33,USD,377.67,197.96,164.62,29,2026-07-01,2027-03-31,100,28000
RATE-000067,OceanBridge Logistics,Delhi,IT,Genoa,Sea LCL,per_cbm,165.63,USD,229.7,139.54,181.05,33,2026-07-01,2027-03-31,100,28000
RATE-000068,SkyCargo Partners,Delhi,IT,Genoa,Sea LCL,per_cbm,188.39,EUR,108.56,142.12,69.14,28,2026-07-01,2027-03-31,100,28000
RATE-000069,BlueWave Logistics,Delhi,IT,Genoa,Sea FCL,per_container,2115.4,USD,160.49,204.77,159.83,26,2026-07-01,2027-03-31,100,28000
RATE-000070,TransGlobe Freight,Delhi,IT,Genoa,Sea FCL,per_container,3378.16,USD,85.36,116.15,165.45,25,2026-07-01,2027-03-31,100,28000
RATE-000071,OceanBridge Logistics,Delhi,IT,Genoa,Sea FCL,per_container,2027.53,EUR,226.97,144.83,96.93,24,2026-07-01,2027-03-31,100,28000
RATE-000072,SkyCargo Partners,Delhi,IT,Genoa,Sea FCL,per_container,3457.0,EUR,180.54,92.75,66.28,27,2026-07-01,2027-03-31,100,28000
RATE-000073,BlueWave Logistics,Delhi,España,Barcelona,Air,per_kg,4.38,USD,408.63,206.93,104.28,9,2026-07-01,2027-03-31,1,5000
RATE-000074,TransGlobe Freight,Delhi,España,Barcelona,Air,per_kg,4.56,USD,452.89,223.56,73.01,10,2026-07-01,2027-03-31,1,5000
RATE-000075,OceanBridge Logistics,Delhi,España,Barcelona,Air,per_kg,4.48,EUR,325.23,195.55,71.97,4,2026-07-01,2027-03-31,1,5000
RATE-000076,SkyCargo Partners,Delhi,España,Barcelona,Air,per_kg,6.69,USD,280.37,201.03,93.77,4,2026-07-01,2027-03-31,1,5000
RATE-000077,BlueWave Logistics,Delhi,España,Barcelona,Sea LCL,per_cbm,274.49,EUR,296.91,82.64,129.01,38,2026-07-01,2027-03-31,100,28000
RATE-000078,TransGlobe Freight,Delhi,España,Barcelona,Sea LCL,per_cbm,275.33,USD,265.15,126.3,101.38,38,2026-07-01,2027-03-31,100,28000
RATE-000079,OceanBridge Logistics,Delhi,España,Barcelona,Sea LCL,per_cbm,203.43,EUR,331.02,114.55,82.36,30,2026-07-01,2027-03-31,100,28000
RATE-000080,SkyCargo Partners,Delhi,España,Barcelona,Sea LCL,per_cbm,261.34,USD,350.2,196.12,165.77,37,2026-07-01,2027-03-31,100,28000
RATE-000081,BlueWave Logistics,Delhi,España,Barcelona,Sea FCL,per_container,2401.89,USD,396.03,153.57,81.28,22,2026-07-01,2027-03-31,100,28000
RATE-000082,TransGlobe Freight,Delhi,España,Barcelona,Sea FCL,per_container,2307.16,EUR,126.75,103.5,79.86,22,2026-07-01,2027-03-31,100,28000
RATE-000083,OceanBridge Logistics,Delhi,España,Barcelona,Sea FCL,per_container,2799.69,EUR,442.6,119.98,125.84,33,2026-07-01,2027-03-31,100,28000
RATE-000084,SkyCargo Partners,Delhi,España,Barcelona,Sea FCL,per_container,3530.05,EUR,217.62,175.78,189.55,31,2026-07-01,2027-03-31,100,28000
RATE-000085,BlueWave Logistics,Delhi,España,Valencia,Air,per_kg,4.72,EUR,183.0,186.01,61.82,5,2026-07-01,2027-03-31,1,5000
RATE-000086,TransGlobe Freight,Delhi,España,Valencia,Air,per_kg,6.87,USD,215.09,166.79,116.26,4,2026-07-01,2027-03-31,1,5000
RATE-000087,OceanBridge Logistics,Delhi,España,Valencia,Air,per_kg,6.36,EUR,370.46,152.01,134.78,9,2026-07-01,2027-03-31,1,5000
RATE-000088,SkyCargo Partners,Delhi,España,Valencia,Air,per_kg,4.3,EUR,383.64,173.76,96.97,8,2026-07-01,2027-03-31,1,5000
RATE-000089,BlueWave Logistics,Delhi,España,Valencia,Sea LCL,per_cbm,252.62,USD,149.5,237.79,71.89,30,2026-07-01,2027-03-31,100,28000
RATE-000090,TransGlobe Freight,Delhi,España,Valencia,Sea LCL,per_cbm,197.33,USD,280.54,228.97,82.76,37,2026-07-01,2027-03-31,100,28000
RATE-000091,OceanBridge Logistics,Delhi,España,Valencia,Sea LCL,per_cbm,150.28,EUR,307.26,100.18,139.52,37,2026-07-01,2027-03-31,100,28000
RATE-000092,SkyCargo Partners,Delhi,España,Valencia,Sea LCL,per_cbm,251.76,USD,310.26,123.5,104.63,28,2026-07-01,2027-03-31,100,28000
RATE-000093,BlueWave Logistics,Delhi,España,Valencia,Sea FCL,per_container,3258.72,USD,467.5,123.97,90.06,34,2026-07-01,2027-03-31,100,28000
RATE-000094,TransGlobe Freight,Delhi,España,Valencia,Sea FCL,per_container,3250.36,USD,403.33,95.43,159.92,24,2026-07-01,2027-03-31,100,28000
RATE-000095,OceanBridge Logistics,Delhi,España,Valencia,Sea FCL,per_container,2971.09,USD,387.77,92.71,168.97,31,2026-07-01,2027-03-31,100,28000
RATE-000096,SkyCargo Partners,Delhi,España,Valencia,Sea FCL,per_container,1861.02,USD,152.73,106.9,137.92,28,2026-07-01,2027-03-31,100,28000
RATE-000097,BlueWave Logistics,Mumbai,DE,Hamburg,Air,per_kg,4.36,EUR,379.72,131.55,135.83,4,2026-07-01,2027-03-31,1,5000
RATE-000098,TransGlobe Freight,Mumbai,DE,Hamburg,Air,per_kg,6.61,EUR,107.45,191.9,78.47,8,2026-07-01,2027-03-31,1,5000
RATE-000099,OceanBridge Logistics,Mumbai,DE,Hamburg,Air,per_kg,6.87,EUR,364.16,128.1,160.91,5,2026-07-01,2027-03-31,1,5000
RATE-000100,SkyCargo Partners,Mumbai,DE,Hamburg,Air,per_kg,6.44,USD,339.94,130.57,68.18,4,2026-07-01,2027-03-31,1,5000
RATE-000101,BlueWave Logistics,Mumbai,DE,Hamburg,Sea LCL,per_cbm,249.83,USD,261.2,183.83,180.63,34,2026-07-01,2027-03-31,100,28000
RATE-000102,TransGlobe Freight,Mumbai,DE,Hamburg,Sea LCL,per_cbm,255.13,USD,177.18,224.34,167.37,28,2026-07-01,2027-03-31,100,28000
RATE-000103,OceanBridge Logistics,Mumbai,DE,Hamburg,Sea LCL,per_cbm,257.17,EUR,438.11,223.84,114.06,34,2026-07-01,2027-03-31,100,28000
RATE-000104,SkyCargo Partners,Mumbai,DE,Hamburg,Sea LCL,per_cbm,205.01,EUR,446.58,176.64,180.94,23,2026-07-01,2027-03-31,100,28000
RATE-000105,BlueWave Logistics,Mumbai,DE,Hamburg,Sea FCL,per_container,3383.54,EUR,315.36,149.2,137.79,29,2026-07-01,2027-03-31,100,28000
RATE-000106,TransGlobe Freight,Mumbai,DE,Hamburg,Sea FCL,per_container,1819.94,USD,241.81,177.34,61.47,35,2026-07-01,2027-03-31,100,28000
RATE-000107,OceanBridge Logistics,Mumbai,DE,Hamburg,Sea FCL,per_container,2468.91,EUR,499.02,173.24,175.99,27,2026-07-01,2027-03-31,100,28000
RATE-000108,SkyCargo Partners,Mumbai,DE,Hamburg,Sea FCL,per_container,3047.8,USD,163.32,120.97,147.48,30,2026-07-01,2027-03-31,100,28000
RATE-000109,BlueWave Logistics,Mumbai,DE,Bremerhaven,Air,per_kg,5.27,EUR,283.46,99.64,185.99,6,2026-07-01,2027-03-31,1,5000
RATE-000110,TransGlobe Freight,Mumbai,DE,Bremerhaven,Air,per_kg,6.36,EUR,95.78,215.59,189.39,8,2026-07-01,2027-03-31,1,5000
RATE-000111,OceanBridge Logistics,Mumbai,DE,Bremerhaven,Air,per_kg,5.14,EUR,133.95,239.71,114.16,9,2026-07-01,2027-03-31,1,5000
RATE-000112,SkyCargo Partners,Mumbai,DE,Bremerhaven,Air,per_kg,6.38,USD,212.88,199.02,77.83,8,2026-07-01,2027-03-31,1,5000
RATE-000113,BlueWave Logistics,Mumbai,DE,Bremerhaven,Sea LCL,per_cbm,149.81,EUR,361.84,230.27,76.08,36,2026-07-01,2027-03-31,100,28000
RATE-000114,TransGlobe Freight,Mumbai,DE,Bremerhaven,Sea LCL,per_cbm,163.54,USD,145.77,174.53,78.86,37,2026-07-01,2027-03-31,100,28000
RATE-000115,OceanBridge Logistics,Mumbai,DE,Bremerhaven,Sea LCL,per_cbm,214.04,USD,180.77,172.89,149.4,22,2026-07-01,2027-03-31,100,28000
RATE-000116,SkyCargo Partners,Mumbai,DE,Bremerhaven,Sea LCL,per_cbm,171.7,USD,185.83,179.59,184.41,22,2026-07-01,2027-03-31,100,28000
RATE-000117,BlueWave Logistics,Mumbai,DE,Bremerhaven,Sea FCL,per_container,2615.08,USD,274.3,143.22,181.94,33,2026-07-01,2027-03-31,100,28000
RATE-000118,TransGlobe Freight,Mumbai,DE,Bremerhaven,Sea FCL,per_container,2383.71,EUR,395.64,210.97,110.18,33,2026-07-01,2027-03-31,100,28000
RATE-000119,OceanBridge Logistics,Mumbai,DE,Bremerhaven,Sea FCL,per_container,2613.32,EUR,274.8,95.93,161.64,35,2026-07-01,2027-03-31,100,28000
RATE-000120,SkyCargo Partners,Mumbai,DE,Bremerhaven,Sea FCL,per_container,2812.35,USD,221.9,149.78,184.19,23,2026-07-01,2027-03-31,100,28000
RATE-000121,BlueWave Logistics,Mumbai,The Netherlands,Rotterdam,Air,per_kg,5.7,EUR,162.37,113.14,126.89,5,2026-07-01,2027-03-31,1,5000
RATE-000122,TransGlobe Freight,Mumbai,The Netherlands,Rotterdam,Air,per_kg,5.06,EUR,181.37,102.06,82.12,6,2026-07-01,2027-03-31,1,5000
RATE-000123,OceanBridge Logistics,Mumbai,The Netherlands,Rotterdam,Air,per_kg,4.41,USD,450.31,149.71,144.53,6,2026-07-01,2027-03-31,1,5000
RATE-000124,SkyCargo Partners,Mumbai,The Netherlands,Rotterdam,Air,per_kg,6.86,EUR,480.94,161.09,136.7,9,2026-07-01,2027-03-31,1,5000
RATE-000125,BlueWave Logistics,Mumbai,The Netherlands,Rotterdam,Sea LCL,per_cbm,221.2,USD,124.2,86.59,98.78,34,2026-07-01,2027-03-31,100,28000
RATE-000126,TransGlobe Freight,Mumbai,The Netherlands,Rotterdam,Sea LCL,per_cbm,200.32,USD,399.6,109.0,96.27,27,2026-07-01,2027-03-31,100,28000
RATE-000127,OceanBridge Logistics,Mumbai,The Netherlands,Rotterdam,Sea LCL,per_cbm,122.15,EUR,186.37,172.29,100.75,27,2026-07-01,2027-03-31,100,28000
RATE-000128,SkyCargo Partners,Mumbai,The Netherlands,Rotterdam,Sea LCL,per_cbm,202.45,USD,100.61,99.33,78.01,33,2026-07-01,2027-03-31,100,28000
RATE-000129,BlueWave Logistics,Mumbai,The Netherlands,Rotterdam,Sea FCL,per_container,2384.94,USD,204.2,163.16,137.77,25,2026-07-01,2027-03-31,100,28000
RATE-000130,TransGlobe Freight,Mumbai,The Netherlands,Rotterdam,Sea FCL,per_container,3313.05,USD,347.69,144.55,76.12,29,2026-07-01,2027-03-31,100,28000
RATE-000131,OceanBridge Logistics,Mumbai,The Netherlands,Rotterdam,Sea FCL,per_container,2146.22,USD,107.32,82.25,115.31,27,2026-07-01,2027-03-31,100,28000
RATE-000132,SkyCargo Partners,Mumbai,The Netherlands,Rotterdam,Sea FCL,per_container,2523.19,USD,383.54,82.73,107.65,27,2026-07-01,2027-03-31,100,28000
RATE-000133,BlueWave Logistics,Mumbai,France,Le Havre,Air,per_kg,4.42,EUR,163.06,109.78,62.13,8,2026-07-01,2027-03-31,1,5000
RATE-000134,TransGlobe Freight,Mumbai,France,Le Havre,Air,per_kg,5.57,EUR,412.22,164.04,95.73,4,2026-07-01,2027-03-31,1,5000
RATE-000135,OceanBridge Logistics,Mumbai,France,Le Havre,Air,per_kg,5.11,USD,220.85,116.38,138.7,8,2026-07-01,2027-03-31,1,5000
RATE-000136,SkyCargo Partners,Mumbai,France,Le Havre,Air,per_kg,4.19,USD,495.58,165.55,73.02,9,2026-07-01,2027-03-31,1,5000
RATE-000137,BlueWave Logistics,Mumbai,France,Le Havre,Sea LCL,per_cbm,231.43,USD,242.8,166.84,188.46,28,2026-07-01,2027-03-31,100,28000
RATE-000138,TransGlobe Freight,Mumbai,France,Le Havre,Sea LCL,per_cbm,272.42,EUR,361.94,154.28,105.7,34,2026-07-01,2027-03-31,100,28000
RATE-000139,OceanBridge Logistics,Mumbai,France,Le Havre,Sea LCL,per_cbm,122.58,EUR,455.65,190.61,68.29,28,2026-07-01,2027-03-31,100,28000
RATE-000140,SkyCargo Partners,Mumbai,France,Le Havre,Sea LCL,per_cbm,171.85,USD,398.49,138.69,163.21,31,2026-07-01,2027-03-31,100,28000
RATE-000141,BlueWave Logistics,Mumbai,France,Le Havre,Sea FCL,per_container,1858.6,EUR,407.87,235.76,163.85,24,2026-07-01,2027-03-31,100,28000
RATE-000142,TransGlobe Freight,Mumbai,France,Le Havre,Sea FCL,per_container,2704.07,USD,466.44,162.03,180.13,35,2026-07-01,2027-03-31,100,28000
RATE-000143,OceanBridge Logistics,Mumbai,France,Le Havre,Sea FCL,per_container,2125.29,USD,342.71,172.65,120.41,30,2026-07-01,2027-03-31,100,28000
RATE-000144,SkyCargo Partners,Mumbai,France,Le Havre,Sea FCL,per_container,3443.96,USD,197.54,178.57,106.02,34,2026-07-01,2027-03-31,100,28000
RATE-000145,BlueWave Logistics,Mumbai,France,Marseille,Air,per_kg,5.01,EUR,446.97,147.54,188.45,5,2026-07-01,2027-03-31,1,5000
RATE-000146,TransGlobe Freight,Mumbai,France,Marseille,Air,per_kg,6.34,USD,192.06,92.96,84.15,5,2026-07-01,2027-03-31,1,5000
RATE-000147,OceanBridge Logistics,Mumbai,France,Marseille,Air,per_kg,5.17,EUR,215.49,230.78,100.32,7,2026-07-01,2027-03-31,1,5000
RATE-000148,SkyCargo Partners,Mumbai,France,Marseille,Air,per_kg,6.4,EUR,467.14,228.77,173.86,8,2026-07-01,2027-03-31,1,5000
RATE-000149,BlueWave Logistics,Mumbai,France,Marseille,Sea LCL,per_cbm,125.0,EUR,266.47,161.8,153.4,38,2026-07-01,2027-03-31,100,28000
RATE-000150,TransGlobe Freight,Mumbai,France,Marseille,Sea LCL,per_cbm,248.06,USD,447.15,202.38,118.31,23,2026-07-01,2027-03-31,100,28000
RATE-000151,OceanBridge Logistics,Mumbai,France,Marseille,Sea LCL,per_cbm,136.78,USD,109.45,236.91,156.3,27,2026-07-01,2027-03-31,100,28000
RATE-000152,SkyCargo Partners,Mumbai,France,Marseille,Sea LCL,per_cbm,223.39,EUR,205.67,188.64,100.41,27,2026-07-01,2027-03-31,100,28000
RATE-000153,BlueWave Logistics,Mumbai,France,Marseille,Sea FCL,per_container,2284.29,USD,129.83,116.81,138.71,28,2026-07-01,2027-03-31,100,28000
RATE-000154,TransGlobe Freight,Mumbai,France,Marseille,Sea FCL,per_container,3255.8,USD,455.27,130.37,106.39,24,2026-07-01,2027-03-31,100,28000
RATE-000155,OceanBridge Logistics,Mumbai,France,Marseille,Sea FCL,per_container,2910.8,EUR,462.95,183.04,123.06,31,2026-07-01,2027-03-31,100,28000
RATE-000156,SkyCargo Partners,Mumbai,France,Marseille,Sea FCL,per_container,2845.86,USD,499.8,136.45,119.51,27,2026-07-01,2027-03-31,100,28000
RATE-000157,BlueWave Logistics,Mumbai,Italia,Genoa,Air,per_kg,4.92,USD,315.83,233.76,98.55,6,2026-07-01,2027-03-31,1,5000
RATE-000158,TransGlobe Freight,Mumbai,Italia,Genoa,Air,per_kg,6.09,USD,274.96,109.69,85.4,5,2026-07-01,2027-03-31,1,5000
RATE-000159,OceanBridge Logistics,Mumbai,Italia,Genoa,Air,per_kg,6.99,USD,466.91,217.44,173.41,5,2026-07-01,2027-03-31,1,5000
RATE-000160,SkyCargo Partners,Mumbai,Italia,Genoa,Air,per_kg,6.73,USD,121.94,153.99,163.94,7,2026-07-01,2027-03-31,1,5000
RATE-000161,BlueWave Logistics,Mumbai,Italia,Genoa,Sea LCL,per_cbm,121.63,USD,355.08,189.15,84.31,28,2026-07-01,2027-03-31,100,28000
RATE-000162,TransGlobe Freight,Mumbai,Italia,Genoa,Sea LCL,per_cbm,185.21,EUR,383.46,149.8,79.0,28,2026-07-01,2027-03-31,100,28000
RATE-000163,OceanBridge Logistics,Mumbai,Italia,Genoa,Sea LCL,per_cbm,273.38,USD,181.62,125.74,134.4,34,2026-07-01,2027-03-31,100,28000
RATE-000164,SkyCargo Partners,Mumbai,Italia,Genoa,Sea LCL,per_cbm,177.06,USD,179.21,239.84,94.3,34,2026-07-01,2027-03-31,100,28000
