shipment_id,shipment_date,exporter_id,buyer_id,origin_city,destination_country_raw,destination_market,destination_port,transport_preference,incoterm,delivery_deadline,current_stage,commercial_currency,declared_total_value,declared_gross_weight_kg,declared_volume_cbm,package_count,special_handling_text
SHP-000028,2026-08-06,EXP-0008,BUY-0003,Ludhiana,FR,FR,Le Havre,Sea LCL,CIP,2026-09-22,BOOKING,USD,153103.48,7034.8,33.669,252,Moisture protection requested
SHP-000029,2026-10-03,EXP-0002,BUY-0020,Mumbai,España,ES,Valencia,Sea LCL,CIP,2026-11-12,PACKING,USD,11310.66,1970.99,9.396,71,Do not stack
SHP-000030,2026-07-09,EXP-0007,BUY-0013,Ahmedabad,France,FR,Le Havre,Sea LCL,CIF,2026-08-10,IN_TRANSIT,USD,79923.52,711.27,3.392,26,
SHP-000031,2026-08-19,EXP-0003,BUY-0001,Chennai,DE,DE,Bremerhaven,Sea LCL,CIF,2026-09-28,DISPATCH,USD,108875.18,1298.68,6.32,47,Retail launch deadline
SHP-000032,2026-11-20,EXP-0011,BUY-0007,Delhi,The Netherlands,NL,Rotterdam,Air,DAP,2026-12-02,DISPATCH,USD,64386.3,606.64,3.701,22,Moisture protection requested
SHP-000033,2026-08-09,EXP-0010,BUY-0008,Tiruppur,FR,FR,Marseille,Sea LCL,CIF,2026-09-25,PRE_PRODUCTION,USD,27825.75,1022.22,5.369,37,
SHP-000034,2026-07-25,EXP-0010,BUY-0015,Tiruppur,Spain,ES,Valencia,Sea LCL,CIP,2026-08-26,IN_TRANSIT,USD,8775.23,154.56,0.978,6,Do not stack
SHP-000035,2026-11-25,EXP-0011,BUY-0003,Delhi,French Republic,FR,Le Havre,Sea LCL,FOB,2027-01-04,PRE_PRODUCTION,USD,117790.07,2586.83,13.903,94,Retail launch deadline
SHP-000036,2026-12-02,EXP-0004,BUY-0009,Kolkata,IT,IT,Genoa,Sea LCL,CIP,2027-01-04,PRE_PRODUCTION,USD,8049.12,374.99,2.676,14,
SHP-000037,2026-11-03,EXP-0006,BUY-0022,Jaipur,NL,NL,Rotterdam,Sea LCL,FOB,2026-12-03,CUSTOMS_PREPARATION,USD,150038.22,3239.46,17.203,117,Do not stack
SHP-000038,2026-08-16,EXP-0011,BUY-0003,Delhi,France,FR,Le Havre,Air,CIF,2026-09-02,IN_TRANSIT,USD,32897.18,1014.78,5.128,37,
SHP-000039,2026-11-14,EXP-0005,BUY-0024,Bengaluru,Italia,IT,Genoa,Air,DAP,2026-12-01,CUSTOMS_PREPARATION,USD,34037.1,416.63,2.299,15,Standard
SHP-000040,2026-09-19,EXP-0012,BUY-0012,Mumbai,NL,NL,Rotterdam,Air,DAP,2026-10-02,PRODUCT_APPROVAL,USD,16165.6,1191.02,6.922,43,
SHP-000041,2026-09-04,EXP-0003,BUY-0015,Chennai,Spain,ES,Barcelona,Air,FOB,2026-09-21,CUSTOMS_PREPARATION,USD,26310.96,778.2,4.298,28,
SHP-000042,2026-11-27,EXP-0003,BUY-0018,Chennai,France,FR,Le Havre,Sea LCL,CIP,2027-01-06,PRE_PRODUCTION,USD,29374.8,1601.64,11.079,58,Moisture protection requested
SHP-000043,2026-12-03,EXP-0001,BUY-0020,Delhi,ES,ES,Barcelona,Air,CIF,2026-12-18,CUSTOMS_PREPARATION,USD,18444.85,985.38,6.282,36,Standard
SHP-000044,2026-08-31,EXP-0004,BUY-0026,Kolkata,DE,DE,Hamburg,Sea LCL,DAP,2026-10-03,IN_TRANSIT,USD,12770.4,153.63,1.155,6,Retail launch deadline
SHP-000045,2026-09-01,EXP-0003,BUY-0002,Chennai,NL,NL,Rotterdam,Sea LCL,DAP,2026-10-11,BOOKING,USD,61736.1,1941.28,13.76,70,Retail launch deadline
SHP-000046,2026-12-07,EXP-0004,BUY-0023,Kolkata,France,FR,Marseille,Sea LCL,CIF,2027-01-25,PRODUCT_APPROVAL,USD,43185.18,2397.1,18.768,87,Moisture protection requested
SHP-000047,2026-08-29,EXP-0012,BUY-0026,Mumbai,Germany,DE,Hamburg,Sea LCL,CIP,2026-10-05,PRE_PRODUCTION,USD,131792.74,3568.76,25.75,129,Moisture protection requested
SHP-000048,2026-09-22,EXP-0011,BUY-0009,Delhi,Italy,IT,Genoa,Air,DAP,2026-10-03,CUSTOMS_PREPARATION,USD,10533.15,540.47,3.949,20,Standard
SHP-000049,2026-07-20,EXP-0002,BUY-0018,Mumbai,French Republic,FR,Le Havre,Sea LCL,DAP,2026-09-07,CUSTOMS_PREPARATION,USD,136712.3,2717.53,16.875,98,Moisture protection requested
SHP-000050,2026-08-02,EXP-0004,BUY-0016,Kolkata,Federal Republic of Germany,DE,Bremerhaven,Sea LCL,CIF,2026-09-12,PRODUCT_APPROVAL,USD,43129.3,1142.87,8.215,41,Moisture protection requested
SHP-000051,2026-11-27,EXP-0011,BUY-0006,Delhi,Federal Republic of Germany,DE,Hamburg,Air,DAP,2026-12-09,DISPATCH,USD,38273.92,879.76,4.432,32,Moisture protection requested
SHP-000052,2026-11-30,EXP-0001,BUY-0024,Delhi,IT,IT,Genoa,Air,DAP,2026-12-09,PRE_PRODUCTION,USD,61129.84,565.18,2.758,21,Moisture protection requested
SHP-000053,2026-10-08,EXP-0008,BUY-0002,Ludhiana,Netherlands,NL,Rotterdam,Air,CIP,2026-10-23,PRE_PRODUCTION,USD,20337.63,653.49,3.279,24,
SHP-000054,2026-07-28,EXP-0009,BUY-0024,Surat,Italia,IT,Genoa,Sea LCL,CIF,2026-08-30,PACKING,USD,24964.08,1828.84,9.303,66,Retail launch deadline
SHP-000055,2026-08-18,EXP-0001,BUY-0006,Delhi,Germany,DE,Hamburg,Air,FOB,2026-09-03,CUSTOMS_PREPARATION,USD,24899.26,936.02,6.544,34,Standard
SHP-000056,2026-07-06,EXP-0007,BUY-0021,Ahmedabad,Germany,DE,Bremerhaven,Sea LCL,CIP,2026-08-17,CUSTOMS_PREPARATION,USD,68287.12,1574.08,12.005,57,Moisture protection requested
SHP-000057,2026-09-20,EXP-0009,BUY-0012,Surat,NL,NL,Rotterdam,Air,DAP,2026-10-02,PRE_PRODUCTION,USD,38502.65,1333.66,7.389,48,
SHP-000058,2026-09-05,EXP-0001,BUY-0023,Delhi,FR,FR,Marseille,Air,FOB,2026-09-17,CUSTOMS_PREPARATION,USD,12614.93,921.51,6.495,33,Standard
SHP-000059,2026-09-19,EXP-0010,BUY-0021,Tiruppur,DE,DE,Bremerhaven,Sea LCL,CIF,2026-11-04,PRE_PRODUCTION,USD,123142.12,5754.84,33.569,207,
SHP-000060,2026-08-26,EXP-0006,BUY-0019,Jaipur,IT,IT,Genoa,Sea LCL,FOB,2026-09-28,PACKING,USD,80111.36,1667.5,10.562,61,Moisture protection requested
SHP-000061,2026-12-04,EXP-0008,BUY-0023,Ludhiana,FR,FR,Le Havre,Air,CIF,2026-12-22,DISPATCH,USD,18061.98,908.85,4.345,33,Retail launch deadline
SHP-000062,2026-09-07,EXP-0002,BUY-0005,Mumbai,España,ES,Valencia,Air,FOB,2026-09-20,PACKING,USD,72761.29,805.93,4.404,29,Retail launch deadline
SHP-000063,2026-10-02,EXP-0004,BUY-0009,Kolkata,IT,IT,Genoa,Air,DAP,2026-10-15,BOOKING,USD,29181.42,1481.74,7.895,54,
SHP-000064,2026-10-01,EXP-0007,BUY-0022,Ahmedabad,The Netherlands,NL,Rotterdam,Sea LCL,FOB,2026-11-08,CUSTOMS_PREPARATION,USD,40577.01,2045.51,14.037,74,Retail launch deadline
SHP-000065,2026-09-05,EXP-0003,BUY-0023,Chennai,French Republic,FR,Le Havre,Sea LCL,CIP,2026-10-25,PRODUCT_APPROVAL,USD,16546.86,1144.48,5.528,41,Retail launch deadline
SHP-000066,2026-08-01,EXP-0009,BUY-0022,Surat,NL,NL,Rotterdam,Sea LCL,CIP,2026-09-03,PRE_PRODUCTION,USD,41767.54,2728.62,17.663,98,
SHP-000067,2026-11-23,EXP-0004,BUY-0023,Kolkata,FR,FR,Le Havre,Sea LCL,DAP,2026-12-31,BOOKING,USD,72217.53,2662.79,13.073,96,Standard
SHP-000068,2026-07-01,EXP-0011,BUY-0030,Delhi,España,ES,Barcelona,Sea LCL,FOB,2026-08-08,CUSTOMS_PREPARATION,USD,193433.24,4882.86,24.36,176,Retail launch deadline
SHP-000069,2026-08-17,EXP-0006,BUY-0021,Jaipur,Germany,DE,Bremerhaven,Air,FOB,2026-09-02,CUSTOMS_PREPARATION,USD,33243.24,1087.66,7.307,39,Standard
SHP-000070,2026-08-12,EXP-0005,BUY-0018,Bengaluru,French Republic,FR,Le Havre,Sea LCL,DAP,2026-09-14,BOOKING,USD,136369.89,4430.27,26.745,159,Do not stack
SHP-000071,2026-07-16,EXP-0005,BUY-0016,Bengaluru,DE,DE,Hamburg,Sea LCL,FOB,2026-08-31,DISPATCH,USD,60468.88,1083.79,5.804,39,Do not stack
SHP-000072,2026-08-02,EXP-0002,BUY-0010,Mumbai,España,ES,Barcelona,Air,CIP,2026-08-12,CUSTOMS_PREPARATION,USD,4138.82,153.71,0.755,6,Do not stack
SHP-000073,2026-09-11,EXP-0005,BUY-0007,Bengaluru,The Netherlands,NL,Rotterdam,Sea LCL,FOB,2026-10-26,PRE_PRODUCTION,USD,50916.9,3045.75,17.644,109,Retail launch deadline
SHP-000074,2026-10-02,EXP-0002,BUY-0018,Mumbai,French Republic,FR,Marseille,Sea LCL,FOB,2026-11-11,BOOKING,USD,98881.8,2515.51,16.244,91,Standard
SHP-000075,2026-09-02,EXP-0011,BUY-0001,Delhi,Federal Republic of Germany,DE,Bremerhaven,Sea LCL,DAP,2026-10-22,CUSTOMS_PREPARATION,USD,63043.6,1655.94,8.09,60,Do not stack
SHP-000076,2026-11-23,EXP-0005,BUY-0018,Bengaluru,FR,FR,Le Havre,Sea LCL,CIF,2026-12-24,IN_TRANSIT,USD,40425.98,996.41,7.917,36,Moisture protection requested
SHP-000077,2026-07-14,EXP-0004,BUY-0025,Kolkata,ES,ES,Barcelona,Air,FOB,2026-08-01,PRODUCT_APPROVAL,USD,11989.16,789.64,4.107,29,
SHP-000078,2026-11-04,EXP-0007,BUY-0009,Ahmedabad,IT,IT,Genoa,Sea LCL,CIP,2026-12-22,BOOKING,USD,16926.0,1618.68,9.735,58,Moisture protection requested
SHP-000079,2026-07-19,EXP-0011,BUY-0009,Delhi,Italia,IT,Genoa,Sea LCL,DAP,2026-08-25,DISPATCH,USD,94267.18,3124.71,19.198,112,Standard
SHP-000080,2026-07-24,EXP-0002,BUY-0028,Mumbai,FR,FR,Marseille,Air,CIP,2026-08-03,DISPATCH,USD,25294.8,682.88,3.589,25,Retail launch deadline
SHP-000081,2026-09-13,EXP-0012,BUY-0029,Mumbai,Italia,IT,Genoa,Sea LCL,FOB,2026-10-22,PRE_PRODUCTION,USD,98778.0,5174.94,31.336,186,Moisture protection requested
SHP-000082,2026-08-26,EXP-0011,BUY-0001,Delhi,DE,DE,Hamburg,Sea LCL,FOB,2026-10-03,BOOKING,USD,83862.2,899.09,6.554,33,Moisture protection requested
SHP-000083,2026-10-01,EXP-0011,BUY-0002,Delhi,The Netherlands,NL,Rotterdam,Sea LCL,CIP,2026-11-13,PRODUCT_APPROVAL,USD,18068.27,1500.82,9.082,54,Moisture protection requested
SHP-000084,2026-10-23,EXP-0006,BUY-0018,Jaipur,FR,FR,Le Havre,Air,CIP,2026-11-07,IN_TRANSIT,USD,23527.6,779.37,4.602,28,Retail launch deadline
SHP-000085,2026-10-22,EXP-0005,BUY-0010,Bengaluru,Spain,ES,Valencia,Sea LCL,CIP,2026-11-25,CUSTOMS_PREPARATION,USD,72620.6,3341.51,15.784,120,Moisture protection requested
SHP-000086,2026-11-22,EXP-0001,BUY-0009,Delhi,Italy,IT,Genoa,Sea LCL,CIF,2027-01-06,PRE_PRODUCTION,USD,34534.71,1516.52,11.413,55,Moisture protection requested
SHP-000087,2026-09-22,EXP-0011,BUY-0020,Delhi,España,ES,Barcelona,Sea LCL,CIP,2026-11-08,PACKING,USD,9703.79,317.81,2.476,12,Moisture protection requested
SHP-000088,2026-12-02,EXP-0010,BUY-0014,Tiruppur,IT,IT,Genoa,Sea LCL,CIF,2027-01-01,CUSTOMS_PREPARATION,USD,39317.67,1325.44,10.071,48,Standard
SHP-000089,2026-07-23,EXP-0006,BUY-0027,Jaipur,NL,NL,Rotterdam,Sea LCL,DAP,2026-09-02,DISPATCH,USD,73903.8,2145.4,13.999,77,Do not stack
SHP-000090,2026-09-23,EXP-0004,BUY-0024,Kolkata,Italia,IT,Genoa,Sea LCL,CIF,2026-10-24,DISPATCH,USD,16713.68,1635.03,7.447,59,Retail launch deadline
SHP-000091,2026-11-06,EXP-0009,BUY-0027,Surat,The Netherlands,NL,Rotterdam,Sea LCL,CIP,2026-12-10,PACKING,USD,39376.53,557.88,3.183,20,Moisture protection requested
SHP-000092,2026-09-13,EXP-0001,BUY-0004,Delhi,IT,IT,Genoa,Air,CIP,2026-09-29,DISPATCH,USD,64819.5,1172.53,7.696,42,Moisture protection requested
SHP-000093,2026-12-05,EXP-0001,BUY-0015,Delhi,Spain,ES,Valencia,Sea LCL,CIF,2027-01-15,PRE_PRODUCTION,USD,83596.21,1328.04,8.652,49,Do not stack
SHP-000094,2026-08-29,EXP-0010,BUY-0009,Tiruppur,Italia,IT,Genoa,Sea LCL,CIP,2026-10-06,PACKING,USD,6845.0,647.24,4.206,24,Do not stack
SHP-000095,2026-12-02,EXP-0009,BUY-0011,Surat,Federal Republic of Germany,DE,Bremerhaven,Sea LCL,FOB,2027-01-08,PRE_PRODUCTION,USD,12903.85,821.31,3.814,30,Moisture protection requested
SHP-000096,2026-09-18,EXP-0005,BUY-0005,Bengaluru,ES,ES,Barcelona,Sea LCL,DAP,2026-10-24,CUSTOMS_PREPARATION,USD,113539.27,1882.81,10.521,70,Moisture protection requested
SHP-000097,2026-08-02,EXP-0001,BUY-0016,Delhi,Germany,DE,Hamburg,Sea LCL,CIF,2026-09-20,PACKING,USD,32945.94,1955.68,10.308,71,Do not stack
SHP-000098,2026-10-25,EXP-0003,BUY-0028,Chennai,FR,FR,Le Havre,Sea LCL,CIP,2026-12-07,PACKING,USD,73258.24,1528.82,8.436,55,
SHP-000099,2026-07-29,EXP-0005,BUY-0028,Bengaluru,French Republic,FR,Le Havre,Air,DAP,2026-08-15,PACKING,USD,29260.8,1192.86,6.897,43,Standard
SHP-000100,2026-11-10,EXP-0009,BUY-0029,Surat,Italy,IT,Genoa,Sea LCL,CIP,2026-12-18,PRE_PRODUCTION,USD,84164.01,1384.17,8.204,50,
SHP-000101,2026-08-03,EXP-0010,BUY-0020,Tiruppur,Spain,ES,Barcelona,Sea LCL,DAP,2026-09-16,IN_TRANSIT,USD,37498.74,2213.85,16.837,80,Standard
SHP-000102,2026-08-19,EXP-0011,BUY-0009,Delhi,Italia,IT,Genoa,Air,CIF,2026-08-28,BOOKING,USD,80928.99,1477.41,8.123,54,Retail launch deadline
SHP-000103,2026-09-17,EXP-0011,BUY-0003,Delhi,FR,FR,Marseille,Air,CIP,2026-10-02,CUSTOMS_PREPARATION,USD,37127.64,1397.1,7.884,50,Moisture protection requested
SHP-000104,2026-10-29,EXP-0008,BUY-0028,Ludhiana,FR,FR,Marseille,Sea LCL,CIF,2026-12-10,CUSTOMS_PREPARATION,USD,2979.43,548.4,4.097,20,Standard
SHP-000105,2026-08-16,EXP-0005,BUY-0019,Bengaluru,IT,IT,Genoa,Air,DAP,2026-08-28,DISPATCH,USD,55439.04,1525.81,8.997,55,Do not stack
SHP-000106,2026-07-29,EXP-0004,BUY-0012,Kolkata,The Netherlands,NL,Rotterdam,Sea LCL,DAP,2026-09-15,PRODUCT_APPROVAL,USD,27307.84,2413.36,13.723,87,Moisture protection requested
SHP-000107,2026-11-29,EXP-0001,BUY-0028,Delhi,FR,FR,Marseille,Sea LCL,DAP,2027-01-12,PRODUCT_APPROVAL,USD,83550.72,1084.63,5.579,39,
SHP-000108,2026-09-17,EXP-0004,BUY-0021,Kolkata,Federal Republic of Germany,DE,Bremerhaven,Sea LCL,FOB,2026-10-22,PRE_PRODUCTION,USD,8393.25,1046.08,4.824,38,Do not stack
SHP-000109,2026-09-12,EXP-0002,BUY-0009,Mumbai,Italy,IT,Genoa,Sea LCL,DAP,2026-10-14,PRE_PRODUCTION,USD,58867.36,2653.11,17.744,96,Standard
SHP-000110,2026-11-16,EXP-0001,BUY-0008,Delhi,France,FR,Le Havre,Air,CIF,2026-12-03,PRODUCT_APPROVAL,USD,49078.32,735.62,4.529,27,Retail launch deadline
SHP-000111,2026-10-03,EXP-0002,BUY-0010,Mumbai,ES,ES,Valencia,Sea LCL,FOB,2026-11-09,PACKING,USD,73288.8,1185.68,9.358,43,Moisture protection requested
SHP-000112,2026-07-08,EXP-0012,BUY-0010,Mumbai,España,ES,Barcelona,Sea LCL,CIF,2026-08-24,PACKING,USD,9095.34,461.15,2.533,17,
SHP-000113,2026-08-17,EXP-0011,BUY-0005,Delhi,España,ES,Valencia,Sea LCL,CIF,2026-09-17,PRE_PRODUCTION,USD,33747.21,860.84,5.901,31,
SHP-000114,2026-09-21,EXP-0004,BUY-0013,Kolkata,FR,FR,Le Havre,Air,CIP,2026-10-09,BOOKING,USD,8403.75,103.03,0.511,4,Retail launch deadline
SHP-000115,2026-10-02,EXP-0001,BUY-0011,Delhi,DE,DE,Bremerhaven,Sea LCL,FOB,2026-11-21,PRE_PRODUCTION,USD,37861.54,1773.26,10.738,64,
SHP-000116,2026-11-29,EXP-0001,BUY-0019,Delhi,Italy,IT,Genoa,Sea LCL,DAP,2027-01-06,BOOKING,USD,19634.16,2100.19,10.166,76,Moisture protection requested
SHP-000117,2026-10-15,EXP-0011,BUY-0016,Delhi,Germany,DE,Bremerhaven,Air,FOB,2026-10-30,PRODUCT_APPROVAL,USD,54936.79,1050.3,5.967,38,Moisture protection requested
SHP-000118,2026-10-28,EXP-0007,BUY-0010,Ahmedabad,Spain,ES,Barcelona,Air,CIP,2026-11-12,CUSTOMS_PREPARATION,USD,55722.43,873.79,5.857,32,
SHP-000119,2026-08-06,EXP-0002,BUY-0018,Mumbai,French Republic,FR,Le Havre,Sea LCL,CIP,2026-09-14,CUSTOMS_PREPARATION,USD,31701.5,1955.11,11.444,70,
SHP-000120,2026-08-16,EXP-0008,BUY-0008,Ludhiana,France,FR,Le Havre,Sea LCL,DAP,2026-09-23,IN_TRANSIT,USD,66186.4,2365.94,12.713,86,Moisture protection requested
SHP-000121,2026-11-12,EXP-0009,BUY-0016,Surat,Federal Republic of Germany,DE,Bremerhaven,Sea LCL,CIP,2026-12-16,DISPATCH,USD,55329.64,2396.0,14.632,86,Do not stack
SHP-000122,2026-07-24,EXP-0001,BUY-0008,Delhi,French Republic,FR,Marseille,Sea LCL,DAP,2026-08-29,PACKING,USD,14515.03,193.39,1.184,7,Do not stack
SHP-000123,2026-09-15,EXP-0012,BUY-0024,Mumbai,Italia,IT,Genoa,Air,DAP,2026-09-26,PRE_PRODUCTION,USD,19395.88,1432.16,7.086,52,Moisture protection requested
SHP-000124,2026-09-29,EXP-0008,BUY-0022,Ludhiana,NL,NL,Rotterdam,Sea LCL,DAP,2026-11-01,DISPATCH,USD,47031.15,825.84,4.342,30,
SHP-000125,2026-11-28,EXP-0002,BUY-0022,Mumbai,NL,NL,Rotterdam,Sea LCL,FOB,2027-01-12,CUSTOMS_PREPARATION,USD,71623.64,1603.27,9.361,58,Standard
SHP-000126,2026-07-15,EXP-0008,BUY-0008,Ludhiana,France,FR,Le Havre,Sea LCL,CIF,2026-08-17,PACKING,USD,90439.66,3476.11,20.108,125,
SHP-000127,2026-10-18,EXP-0003,BUY-0023,Chennai,France,FR,Marseille,Sea LCL,DAP,2026-11-26,PRODUCT_APPROVAL,USD,66580.12,1962.0,12.635,71,Retail launch deadline
SHP-000128,2026-11-24,EXP-0002,BUY-0022,Mumbai,The Netherlands,NL,Rotterdam,Sea LCL,DAP,2027-01-12,BOOKING,USD,28738.8,532.79,3.375,20,
SHP-000129,2026-09-10,EXP-0006,BUY-0022,Jaipur,NL,NL,Rotterdam,Sea LCL,CIF,2026-10-26,PRE_PRODUCTION,USD,95181.1,895.34,6.085,32,Standard
SHP-000130,2026-11-01,EXP-0011,BUY-0015,Delhi,Spain,ES,Valencia,Sea LCL,CIP,2026-12-08,PRODUCT_APPROVAL,USD,80064.06,1966.41,11.694,71,Standard
SHP-000131,2026-11-06,EXP-0004,BUY-0004,Kolkata,Italy,IT,Genoa,Sea LCL,DAP,2026-12-12,PACKING,USD,50963.6,2736.03,14.178,98,Moisture protection requested
SHP-000132,2026-08-10,EXP-0002,BUY-0030,Mumbai,España,ES,Valencia,Sea LCL,DAP,2026-09-19,PRE_PRODUCTION,USD,95118.71,4487.02,27.366,161,Moisture protection requested
SHP-000133,2026-08-07,EXP-0007,BUY-0018,Ahmedabad,French Republic,FR,Marseille,Air,FOB,2026-08-16,PRODUCT_APPROVAL,USD,32205.47,1103.05,7.908,41,Standard
SHP-000134,2026-08-09,EXP-0002,BUY-0015,Mumbai,España,ES,Valencia,Sea LCL,CIP,2026-09-16,IN_TRANSIT,USD,21341.3,2124.61,11.76,76,Retail launch deadline
SHP-000135,2026-11-24,EXP-0010,BUY-0025,Tiruppur,ES,ES,Valencia,Sea LCL,CIP,2027-01-13,IN_TRANSIT,USD,49813.28,1290.64,7.275,47,Do not stack
SHP-000136,2026-08-17,EXP-0008,BUY-0022,Ludhiana,NL,NL,Rotterdam,Air,CIF,2026-09-02,PACKING,USD,27994.68,1564.49,11.897,56,Moisture protection requested
SHP-000137,2026-08-13,EXP-0003,BUY-0026,Chennai,Germany,DE,Hamburg,Sea LCL,CIP,2026-09-24,BOOKING,USD,61763.4,1943.12,11.847,70,
SHP-000138,2026-08-24,EXP-0008,BUY-0015,Ludhiana,España,ES,Valencia,Sea LCL,CIF,2026-10-02,CUSTOMS_PREPARATION,USD,10570.3,389.67,1.849,14,
SHP-000139,2026-07-11,EXP-0006,BUY-0025,Jaipur,Spain,ES,Valencia,Sea LCL,CIP,2026-08-18,BOOKING,USD,105340.72,2010.21,13.463,73,Moisture protection requested
SHP-000140,2026-10-02,EXP-0006,BUY-0028,Jaipur,France,FR,Le Havre,Sea LCL,FOB,2026-11-18,CUSTOMS_PREPARATION,USD,43079.46,2213.78,12.459,80,Do not stack
